Subject,StimOrder,TrainOrder,SparseOrder,DenseOrder,SupervisedOrder,UnsupervisedOrder
9001,DenseFirst,UnsupervisedFirst,UnsupervisedFirst,UnsupervisedFirst,DenseFirst,DenseFirst
9002,DenseFirst,UnsupervisedFirst,UnsupervisedFirst,UnsupervisedFirst,SparseFirst,DenseFirst
9003,DenseFirst,UnsupervisedFirst,UnsupervisedFirst,UnsupervisedFirst,DenseFirst,DenseFirst
9004,DenseFirst,UnsupervisedFirst,SupervisedFirst,UnsupervisedFirst,DenseFirst,DenseFirst
9005,DenseFirst,UnsupervisedFirst,SupervisedFirst,UnsupervisedFirst,SparseFirst,DenseFirst
9006,DenseFirst,UnsupervisedFirst,SupervisedFirst,UnsupervisedFirst,SparseFirst,DenseFirst
9007,SparseFirst,UnsupervisedFirst,UnsupervisedFirst,UnsupervisedFirst,DenseFirst,SparseFirst
9008,SparseFirst,UnsupervisedFirst,UnsupervisedFirst,UnsupervisedFirst,SparseFirst,SparseFirst
9009,SparseFirst,UnsupervisedFirst,UnsupervisedFirst,SupervisedFirst,DenseFirst,SparseFirst
9010,SparseFirst,UnsupervisedFirst,UnsupervisedFirst,SupervisedFirst,DenseFirst,SparseFirst
9011,SparseFirst,UnsupervisedFirst,UnsupervisedFirst,UnsupervisedFirst,SparseFirst,SparseFirst
9012,SparseFirst,UnsupervisedFirst,UnsupervisedFirst,SupervisedFirst,DenseFirst,SparseFirst
9013,DenseFirst,SupervisedFirst,UnsupervisedFirst,SupervisedFirst,DenseFirst,DenseFirst
9014,DenseFirst,SupervisedFirst,SupervisedFirst,SupervisedFirst,DenseFirst,DenseFirst
9015,DenseFirst,SupervisedFirst,UnsupervisedFirst,SupervisedFirst,DenseFirst,SparseFirst
9016,DenseFirst,SupervisedFirst,UnsupervisedFirst,SupervisedFirst,DenseFirst,SparseFirst
9017,DenseFirst,SupervisedFirst,SupervisedFirst,SupervisedFirst,DenseFirst,DenseFirst
9018,DenseFirst,SupervisedFirst,SupervisedFirst,SupervisedFirst,DenseFirst,SparseFirst
9019,SparseFirst,SupervisedFirst,SupervisedFirst,UnsupervisedFirst,SparseFirst,DenseFirst
9020,SparseFirst,SupervisedFirst,SupervisedFirst,UnsupervisedFirst,SparseFirst,DenseFirst
9021,SparseFirst,SupervisedFirst,SupervisedFirst,UnsupervisedFirst,SparseFirst,SparseFirst
9022,SparseFirst,SupervisedFirst,SupervisedFirst,SupervisedFirst,SparseFirst,SparseFirst
9023,SparseFirst,SupervisedFirst,SupervisedFirst,SupervisedFirst,SparseFirst,DenseFirst
9024,SparseFirst,SupervisedFirst,SupervisedFirst,SupervisedFirst,SparseFirst,SparseFirst
9025,DenseFirst,UnsupervisedFirst,UnsupervisedFirst,UnsupervisedFirst,DenseFirst,DenseFirst
9026,DenseFirst,UnsupervisedFirst,UnsupervisedFirst,UnsupervisedFirst,DenseFirst,DenseFirst
9027,DenseFirst,UnsupervisedFirst,UnsupervisedFirst,UnsupervisedFirst,DenseFirst,DenseFirst
9028,DenseFirst,UnsupervisedFirst,SupervisedFirst,UnsupervisedFirst,DenseFirst,DenseFirst
9029,DenseFirst,UnsupervisedFirst,SupervisedFirst,UnsupervisedFirst,SparseFirst,DenseFirst
9030,DenseFirst,UnsupervisedFirst,SupervisedFirst,UnsupervisedFirst,SparseFirst,DenseFirst
9031,SparseFirst,UnsupervisedFirst,UnsupervisedFirst,UnsupervisedFirst,DenseFirst,SparseFirst
9032,SparseFirst,UnsupervisedFirst,UnsupervisedFirst,UnsupervisedFirst,SparseFirst,SparseFirst
9033,SparseFirst,UnsupervisedFirst,UnsupervisedFirst,SupervisedFirst,SparseFirst,SparseFirst
9034,SparseFirst,UnsupervisedFirst,UnsupervisedFirst,SupervisedFirst,DenseFirst,SparseFirst
9035,SparseFirst,UnsupervisedFirst,UnsupervisedFirst,UnsupervisedFirst,SparseFirst,SparseFirst
9036,SparseFirst,UnsupervisedFirst,UnsupervisedFirst,SupervisedFirst,SparseFirst,SparseFirst
9037,DenseFirst,SupervisedFirst,UnsupervisedFirst,SupervisedFirst,DenseFirst,DenseFirst
9038,DenseFirst,SupervisedFirst,SupervisedFirst,SupervisedFirst,DenseFirst,DenseFirst
9039,DenseFirst,SupervisedFirst,UnsupervisedFirst,SupervisedFirst,DenseFirst,SparseFirst
