Type	Category	KEY	RESP	Accuracy	RT
II	a	j	b	0	4.236
II	a	j	b	0	3.884
II	b	d	a	0	1.744
II	b	d	a	0	3.426
II	a	d	a	1	1.752
II	a	j	b	0	1.218
II	b	d	a	0	3.636
II	a	j	b	0	4.881
II	b	j	b	1	1.180
II	a	j	b	0	1.377
II	a	None	None	0	9999.000
II	a	j	b	0	0.001
II	b	j	b	1	0.892
II	b	j	b	1	0.762
II	b	j	b	1	1.095
II	a	d	a	1	1.320
II	b	d	a	0	1.308
II	a	d	a	1	1.020
II	b	d	a	0	0.716
II	a	d	a	1	0.733
II	a	j	b	0	0.719
II	b	j	b	1	0.576
II	b	j	b	1	0.529
II	a	d	a	1	0.927
II	b	j	b	1	0.718
II	b	d	a	0	0.790
II	b	j	b	1	2.013
II	b	j	b	1	0.551
II	b	d	a	0	0.418
II	a	j	b	0	0.721
II	a	j	b	0	0.679
II	a	d	a	1	1.041
II	a	d	a	1	0.859
II	a	d	a	1	0.880
II	b	d	a	0	0.513
II	b	d	a	0	0.599
II	a	j	b	0	0.303
II	a	j	b	0	0.361
II	b	d	a	0	0.639
II	b	j	b	1	0.732
