Type	Category	KEY	RESP	Accuracy	RT
RB	b	d	a	0	1.712
RB	b	d	a	0	1.053
RB	a	d	a	1	1.326
RB	a	d	a	1	1.499
RB	a	j	b	0	0.869
RB	a	j	b	0	0.981
RB	a	j	b	0	0.909
RB	b	d	a	0	2.110
RB	a	d	a	1	0.999
RB	b	j	b	1	1.112
RB	a	d	a	1	1.131
RB	a	d	a	1	1.041
RB	b	d	a	0	1.039
RB	b	j	b	1	1.793
RB	b	d	a	0	1.173
RB	a	j	b	0	1.064
RB	a	j	b	0	0.999
RB	a	d	a	1	1.302
RB	a	j	b	0	1.034
RB	a	d	a	1	1.173
RB	a	d	a	1	0.970
RB	b	d	a	0	1.056
RB	a	j	b	0	4.097
RB	b	d	a	0	2.064
RB	a	d	a	1	2.144
RB	b	d	a	0	1.396
RB	b	j	b	1	1.811
RB	b	d	a	0	0.943
RB	a	j	b	0	1.043
RB	b	d	a	0	2.234
RB	b	d	a	0	0.690
RB	a	d	a	1	1.093
RB	a	j	b	0	1.002
RB	b	j	b	1	2.477
RB	b	j	b	1	0.846
RB	a	j	b	0	0.650
RB	b	d	a	0	1.442
RB	b	j	b	1	2.921
RB	b	j	b	1	0.650
RB	b	d	a	0	0.488
