Subject	Run	Type	Category	key_pressed	RESP	Accuracy	RT
666	1	II	b	None	None	0	9999.000
666	1	II	b	d	a	0	3.805
666	1	II	b	None	None	0	9999.000
666	1	II	b	j	b	1	0.139
666	1	II	a	None	None	0	9999.000
666	1	II	a	j	b	0	-0.115
666	1	II	a	None	None	0	9999.000
666	1	II	b	d	a	0	-0.214
666	1	II	a	None	None	0	9999.000
666	1	II	a	j	b	0	0.537
666	1	II	b	d	a	0	4.363
666	1	II	b	j	b	1	0.259
666	1	II	b	j	b	1	0.325
666	1	II	b	j	b	1	0.247
666	1	II	b	j	b	1	0.270
666	1	II	b	j	b	1	0.246
666	1	II	b	j	b	1	0.198
666	1	II	a	j	b	0	0.289
666	1	II	b	j	b	1	0.376
666	1	II	b	j	b	1	0.516
666	1	II	a	j	b	0	0.365
666	1	II	b	d	a	0	0.914
666	1	II	b	j	b	1	0.818
666	1	II	a	j	b	0	0.714
666	1	II	b	d	a	0	0.968
666	1	II	a	j	b	0	0.323
666	1	II	a	d	a	1	1.015
666	1	II	a	j	b	0	0.652
666	1	II	a	d	a	1	0.857
666	1	II	a	d	a	1	0.627
666	1	II	a	d	a	1	0.860
666	1	II	b	j	b	1	0.714
666	1	II	b	d	a	0	0.939
666	1	II	b	j	b	1	0.475
666	1	II	a	j	b	0	1.193
666	1	II	a	d	a	1	1.369
666	1	II	a	j	b	0	1.091
666	1	II	a	d	a	1	0.693
666	1	II	b	j	b	1	1.436
666	1	II	b	j	b	1	1.224
666	1	II	b	d	a	0	1.035
666	1	II	a	d	a	1	0.683
666	1	II	a	j	b	0	0.985
666	1	II	b	d	a	0	0.932
666	1	II	b	j	b	1	1.230
666	1	II	b	d	a	0	1.413
666	1	II	a	j	b	0	0.607
666	1	II	b	j	b	1	1.568
666	1	II	b	j	b	1	1.008
666	1	II	b	d	a	0	1.978
666	1	II	b	j	b	1	0.637
666	1	II	b	j	b	1	0.847
666	1	II	b	d	a	0	1.412
666	1	II	b	j	b	1	0.427
666	1	II	a	j	b	0	0.608
666	1	II	b	j	b	1	1.063
666	1	II	a	j	b	0	1.084
666	1	II	a	d	a	1	1.323
666	1	II	a	j	b	0	0.739
666	1	II	a	d	a	1	1.044
666	1	II	a	d	a	1	0.617
666	1	II	a	d	a	1	1.514
666	1	II	b	j	b	1	0.701
666	1	II	a	d	a	1	0.692
666	1	II	a	j	b	0	0.725
666	1	II	b	d	a	0	0.847
666	1	II	a	j	b	0	0.875
666	1	II	a	j	b	0	0.932
666	1	II	a	d	a	1	1.777
666	1	II	a	d	a	1	0.916
666	1	II	b	j	b	1	1.214
666	1	II	a	d	a	1	1.136
666	1	II	b	d	a	0	1.138
666	1	II	a	j	b	0	0.848
666	1	II	a	j	b	0	0.911
666	1	II	a	j	b	0	1.045
