targ_img,targ,cat1,cat2,cat3,word1,word3,word2,img3,img2,img1,correct,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,expTrials.thisRepN,expTrials.thisTrialN,expTrials.thisN,expTrials.thisIndex,resp.keys,resp.corr,resp.rt,readyTest.keys,readyTest.rt,date,frameRate,expName,session,participant,
stim/cardinal.jpg,bird,them,dist,tax,tree,turtle,guitar,stim/turtle.jpg,stim/guitar.jpg,stim/tree.jpg,right,0,0,0,1,,,,,right,1,1.65052509308,,,2019_Feb_14_1022,60.1131375092,taxthemexp_tax_img,01,666,
stim/car.jpg,car,dist,tax,them,yarn,stopsign,train,stim/stopsign.jpg,stim/train.jpg,stim/yarn.jpg,down,0,1,1,5,,,,,down,1,1.10189080238,,,2019_Feb_14_1022,60.1131375092,taxthemexp_tax_img,01,666,
stim/kettle.jpg,kettle,tax,them,dist,coffee maker,doorknob,stove,stim/doorknob.jpg,stim/stove.jpg,stim/coffeemaker.jpg,left,0,2,2,0,,,,,left,1,1.78513789177,,,2019_Feb_14_1022,60.1131375092,taxthemexp_tax_img,01,666,
stim/lock.jpg,lock,dist,tax,them,grapes,key,handcuffs,stim/key.jpg,stim/handcuffs.jpg,stim/grapes.jpg,down,0,3,3,2,,,,,right,0,2.11749219894,,,2019_Feb_14_1022,60.1131375092,taxthemexp_tax_img,01,666,
stim/sock.jpg,sock,tax,them,dist,pants,cake,shoe,stim/cake.jpg,stim/shoe.jpg,stim/pants.jpg,left,0,4,4,3,,,,,down,0,1.51859283447,,,2019_Feb_14_1022,60.1131375092,taxthemexp_tax_img,01,666,
stim/toaster.jpg,toaster,them,dist,tax,bread,microwave,trumpet,stim/microwave.jpg,stim/trumpet.jpg,stim/bread.jpg,right,0,5,5,4,,,,,right,1,1.30191397667,,,2019_Feb_14_1022,60.1131375092,taxthemexp_tax_img,01,666,
,,,,,,,,,,,,,,,,,,,,,,,space,7.14667987823,2019_Feb_14_1022,60.1131375092,taxthemexp_tax_img,01,666,
stim/knife.jpg,knife,dist,tax,them,camel,cutting board,sword,stim/cuttingboard.jpg,stim/sword.jpg,stim/camel.jpg,down,,,,,0,0,0,14,down,1,2.10211896896,,,2019_Feb_14_1022,60.1131375092,taxthemexp_tax_img,01,666,
stim/printer.jpg,printer,tax,them,dist,shredder,wheelchair,desk,stim/wheelchair.jpg,stim/desk.jpg,stim/shredder.jpg,left,,,,,0,1,1,20,left,1,2.79994010925,,,2019_Feb_14_1022,60.1131375092,taxthemexp_tax_img,01,666,
stim/cigarette.jpg,cigarette,tax,them,dist,pipe,tissue box,cigarette cutter,stim/tissuebox.jpg,stim/cigarettecutter.jpg,stim/pipe.jpg,left,,,,,0,2,2,7,left,1,3.30215406418,,,2019_Feb_14_1022,60.1131375092,taxthemexp_tax_img,01,666,
stim/headband.jpg,headband,them,dist,tax,hairbrush,scrunchie,golfball,stim/scrunchie.jpg,stim/golfball.jpg,stim/hairbrush.jpg,right,,,,,0,3,3,12,right,1,1.66889500618,,,2019_Feb_14_1022,60.1131375092,taxthemexp_tax_img,01,666,
stim/suitcase.jpg,suitcase,them,dist,tax,suit,basket,snowglobe,stim/basket.jpg,stim/snowglobe.jpg,stim/suit.jpg,right,,,,,0,4,4,23,right,1,2.16876292229,,,2019_Feb_14_1022,60.1131375092,taxthemexp_tax_img,01,666,
stim/horn.jpg,horn,tax,them,dist,clarinet,chips,music stand,stim/chips.jpg,stim/musicstand.jpg,stim/clarinet.jpg,left,,,,,0,5,5,13,left,1,0.685336828232,,,2019_Feb_14_1022,60.1131375092,taxthemexp_tax_img,01,666,
stim/corkscrew.jpg,corkscrew,them,dist,tax,wine,peeler,peanut,stim/peeler.jpg,stim/peanut.jpg,stim/wine.jpg,right,,,,,0,6,6,8,right,1,2.11902999878,,,2019_Feb_14_1022,60.1131375092,taxthemexp_tax_img,01,666,
stim/soda.jpg,soda,them,dist,tax,chips,juice,seashell,stim/juice.jpg,stim/seashell.jpg,stim/chips.jpg,right,,,,,0,7,7,21,right,1,4.63588094711,,,2019_Feb_14_1022,60.1131375092,taxthemexp_tax_img,01,666,
