Block	StimType	Stimulus	KEY	RESP	Accuracy	RT
UnsupervisedDense	nottarget	contr5	n	nottarget	1	2.146
UnsupervisedDense	nottarget	contr10	n	nottarget	1	2.386
UnsupervisedDense	nottarget	contr7	n	nottarget	1	3.881
UnsupervisedDense	target	test6	x	target	1	1.105
UnsupervisedDense	nottarget	contr8	n	nottarget	1	1.636
UnsupervisedDense	target	test10	x	target	1	0.666
UnsupervisedDense	target	test12	x	target	1	1.479
UnsupervisedDense	nottarget	contr4	n	nottarget	1	1.076
UnsupervisedDense	target	test13	x	target	1	2.383
UnsupervisedDense	nottarget	contr2	n	nottarget	1	1.198
UnsupervisedDense	target	test5	x	target	1	0.870
UnsupervisedDense	target	test14	x	target	1	1.090
UnsupervisedDense	nottarget	contr12	n	nottarget	1	1.078
UnsupervisedDense	nottarget	contr9	n	nottarget	1	1.226
UnsupervisedDense	nottarget	catch5	n	nottarget	1	1.641
UnsupervisedDense	target	test15	x	target	1	1.030
UnsupervisedDense	nottarget	catch2	n	nottarget	1	1.012
UnsupervisedDense	target	test1	x	target	1	1.372
UnsupervisedDense	nottarget	contr1	n	nottarget	1	0.916
UnsupervisedDense	nottarget	contr13	n	nottarget	1	1.063
UnsupervisedDense	nottarget	catch6	n	nottarget	1	0.828
UnsupervisedDense	nottarget	contr11	n	nottarget	1	1.427
UnsupervisedDense	nottarget	contr16	n	nottarget	1	1.066
UnsupervisedDense	target	test2	x	target	1	0.839
UnsupervisedDense	nottarget	catch8	n	nottarget	1	0.725
UnsupervisedDense	target	test9	x	target	1	0.832
UnsupervisedDense	nottarget	contr14	n	nottarget	1	0.790
UnsupervisedDense	nottarget	catch7	n	nottarget	1	2.015
UnsupervisedDense	nottarget	catch4	n	nottarget	1	1.020
UnsupervisedDense	nottarget	contr6	n	nottarget	1	0.762
UnsupervisedDense	target	test7	x	target	1	0.613
UnsupervisedDense	nottarget	contr3	n	nottarget	1	1.156
UnsupervisedDense	target	test8	x	target	1	0.806
UnsupervisedDense	nottarget	catch3	n	nottarget	1	0.557
UnsupervisedDense	nottarget	contr15	n	nottarget	1	0.990
UnsupervisedDense	target	test16	x	target	1	0.647
UnsupervisedDense	nottarget	catch1	n	nottarget	1	0.597
UnsupervisedDense	target	test11	x	target	1	0.821
UnsupervisedDense	target	test4	x	target	1	0.740
UnsupervisedDense	target	test3	x	target	1	2.047
SupervisedDense	nottarget	catch5	n	nottarget	1	1.359
SupervisedDense	target	test3	x	target	1	0.792
SupervisedDense	target	test8	x	target	1	2.304
SupervisedDense	nottarget	contr11	n	nottarget	1	1.330
SupervisedDense	target	test6	x	target	1	1.228
SupervisedDense	nottarget	catch8	n	nottarget	1	0.698
SupervisedDense	nottarget	contr12	n	nottarget	1	0.786
SupervisedDense	target	test10	x	target	1	0.890
SupervisedDense	nottarget	contr8	n	nottarget	1	0.847
SupervisedDense	nottarget	contr14	n	nottarget	1	0.758
SupervisedDense	nottarget	catch6	n	nottarget	1	0.686
SupervisedDense	target	test13	x	target	1	1.426
SupervisedDense	nottarget	catch4	n	nottarget	1	0.576
SupervisedDense	nottarget	contr3	n	nottarget	1	0.667
SupervisedDense	nottarget	catch1	n	nottarget	1	0.599
SupervisedDense	target	test9	x	target	1	0.591
SupervisedDense	target	test12	x	target	1	0.888
SupervisedDense	nottarget	contr10	n	nottarget	1	0.668
SupervisedDense	target	test4	x	target	1	1.010
SupervisedDense	nottarget	contr5	n	nottarget	1	0.665
SupervisedDense	target	test7	x	target	1	0.550
SupervisedDense	nottarget	contr2	n	nottarget	1	0.560
SupervisedDense	nottarget	catch7	n	nottarget	1	0.803
SupervisedDense	target	test14	x	target	1	0.657
SupervisedDense	target	test15	x	target	1	1.126
SupervisedDense	target	test1	x	target	1	0.625
SupervisedDense	nottarget	contr7	n	nottarget	1	0.601
SupervisedDense	nottarget	contr6	n	nottarget	1	1.689
SupervisedDense	nottarget	contr15	n	nottarget	1	0.492
SupervisedDense	nottarget	contr1	n	nottarget	1	0.520
SupervisedDense	nottarget	contr16	n	nottarget	1	0.444
SupervisedDense	target	test16	x	target	1	0.507
SupervisedDense	nottarget	contr4	n	nottarget	1	0.511
SupervisedDense	nottarget	contr13	n	nottarget	1	0.522
SupervisedDense	target	test11	x	target	1	0.405
SupervisedDense	nottarget	contr9	n	nottarget	1	0.605
SupervisedDense	nottarget	catch2	n	nottarget	1	0.790
SupervisedDense	nottarget	catch3	n	nottarget	1	0.486
SupervisedDense	target	test5	x	target	1	0.603
SupervisedDense	target	test2	x	target	1	0.561
