Block	StimType	Stimulus	KEY	RESP	Accuracy	RT	Subject	Order
UnsupervisedDense	nottarget	contr10	n	nottarget	1	2.964	7001	1
UnsupervisedDense	target	test6	x	target	1	1.123	7001	1
UnsupervisedDense	target	test1	x	target	1	0.933	7001	1
UnsupervisedDense	nottarget	catch8	n	nottarget	1	1.343	7001	1
UnsupervisedDense	nottarget	catch2	n	nottarget	1	0.56	7001	1
UnsupervisedDense	nottarget	catch4	n	nottarget	1	0.891	7001	1
UnsupervisedDense	target	test10	n	nottarget	0	0.0	7001	1
UnsupervisedDense	nottarget	contr8	n	nottarget	1	3.752	7001	1
UnsupervisedDense	target	test4	x	target	1	1.435	7001	1
UnsupervisedDense	nottarget	catch5	n	nottarget	1	1.01	7001	1
UnsupervisedDense	target	test2	x	target	1	1.056	7001	1
UnsupervisedDense	nottarget	catch7	n	nottarget	1	0.966	7001	1
UnsupervisedDense	nottarget	contr16	n	nottarget	1	0.959	7001	1
UnsupervisedDense	nottarget	catch6	n	nottarget	1	0.608	7001	1
UnsupervisedDense	target	test7	x	target	1	0.712	7001	1
UnsupervisedDense	target	test11	x	target	1	1.003	7001	1
UnsupervisedDense	target	test15	x	target	1	0.763	7001	1
UnsupervisedDense	target	test3	x	target	1	0.7	7001	1
UnsupervisedDense	nottarget	contr6	n	nottarget	1	0.735	7001	1
UnsupervisedDense	nottarget	contr12	n	nottarget	1	0.642	7001	1
UnsupervisedDense	nottarget	contr5	n	nottarget	1	0.969	7001	1
UnsupervisedDense	nottarget	catch1	n	nottarget	1	0.704	7001	1
UnsupervisedDense	target	test14	x	target	1	0.748	7001	1
UnsupervisedDense	target	test9	x	target	1	0.648	7001	1
UnsupervisedDense	target	test5	x	target	1	0.494	7001	1
UnsupervisedDense	target	test16	x	target	1	0.602	7001	1
UnsupervisedDense	nottarget	contr2	n	nottarget	1	1.017	7001	1
UnsupervisedDense	nottarget	contr7	n	nottarget	1	0.599	7001	1
UnsupervisedDense	nottarget	contr13	n	nottarget	1	0.585	7001	1
UnsupervisedDense	nottarget	contr1	n	nottarget	1	0.585	7001	1
UnsupervisedDense	target	test12	n	nottarget	0	0.562	7001	1
UnsupervisedDense	nottarget	contr11	n	nottarget	1	0.651	7001	1
UnsupervisedDense	nottarget	contr9	n	nottarget	1	0.609	7001	1
UnsupervisedDense	nottarget	catch3	n	nottarget	1	0.601	7001	1
UnsupervisedDense	nottarget	contr14	n	nottarget	1	0.728	7001	1
UnsupervisedDense	nottarget	contr3	n	nottarget	1	0.676	7001	1
UnsupervisedDense	nottarget	contr15	n	nottarget	1	0.432	7001	1
UnsupervisedDense	target	test13	x	target	1	1.344	7001	1
UnsupervisedDense	nottarget	contr4	n	nottarget	1	1.146	7001	1
UnsupervisedDense	target	test8	x	target	1	0.755	7001	1
SupervisedSparse	target	test10	x	target	1	1.549	7001	1
SupervisedSparse	nottarget	contr2	n	nottarget	1	0.724	7001	1
SupervisedSparse	nottarget	catch2	n	nottarget	1	1.206	7001	1
SupervisedSparse	nottarget	contr4	n	nottarget	1	1.352	7001	1
SupervisedSparse	nottarget	contr9	n	nottarget	1	0.646	7001	1
SupervisedSparse	nottarget	catch3	n	nottarget	1	0.518	7001	1
SupervisedSparse	target	test2	x	target	1	0.515	7001	1
SupervisedSparse	nottarget	catch1	n	nottarget	1	0.584	7001	1
SupervisedSparse	nottarget	contr16	n	nottarget	1	1.56	7001	1
SupervisedSparse	nottarget	contr11	n	nottarget	1	0.633	7001	1
SupervisedSparse	target	test14	x	target	1	0.688	7001	1
SupervisedSparse	target	test5	x	target	1	0.769	7001	1
SupervisedSparse	target	test15	x	target	1	0.357	7001	1
SupervisedSparse	target	test12	x	target	1	0.423	7001	1
SupervisedSparse	target	test6	x	target	1	0.83	7001	1
SupervisedSparse	target	test16	x	target	1	0.446	7001	1
SupervisedSparse	nottarget	contr5	n	nottarget	1	0.371	7001	1
SupervisedSparse	nottarget	catch5	n	nottarget	1	0.533	7001	1
SupervisedSparse	nottarget	contr10	n	nottarget	1	0.607	7001	1
SupervisedSparse	target	test8	x	target	1	0.532	7001	1
SupervisedSparse	nottarget	contr14	n	nottarget	1	0.848	7001	1
SupervisedSparse	nottarget	catch7	n	nottarget	1	0.509	7001	1
SupervisedSparse	target	test4	x	target	1	0.642	7001	1
SupervisedSparse	target	test13	x	target	1	0.721	7001	1
SupervisedSparse	nottarget	contr3	n	nottarget	1	0.524	7001	1
SupervisedSparse	nottarget	catch4	n	nottarget	1	0.592	7001	1
SupervisedSparse	nottarget	catch8	n	nottarget	1	0.392	7001	1
SupervisedSparse	target	test1	x	target	1	0.544	7001	1
SupervisedSparse	nottarget	contr6	n	nottarget	1	0.443	7001	1
SupervisedSparse	nottarget	contr8	n	nottarget	1	0.37	7001	1
SupervisedSparse	nottarget	contr13	n	nottarget	1	0.443	7001	1
SupervisedSparse	nottarget	contr15	n	nottarget	1	0.41	7001	1
SupervisedSparse	nottarget	contr7	n	nottarget	1	0.369	7001	1
