Block	StimType	Stimulus	KEY	RESP	Accuracy	RT
SupervisedDense	nottarget	catch5	x	target	0	3.990
SupervisedDense	nottarget	contr15	n	nottarget	1	2.011
SupervisedDense	target	test16	x	target	1	1.552
SupervisedDense	nottarget	contr8	n	nottarget	1	1.472
SupervisedDense	nottarget	catch3	x	target	0	1.261
SupervisedDense	nottarget	catch8	x	target	0	1.170
SupervisedDense	target	test1	x	target	1	1.818
SupervisedDense	target	test9	x	target	1	1.199
SupervisedDense	target	test8	x	target	1	0.910
SupervisedDense	target	test5	x	target	1	1.643
SupervisedDense	nottarget	contr9	n	nottarget	1	0.831
SupervisedDense	target	test4	x	target	1	1.269
SupervisedDense	nottarget	contr16	n	nottarget	1	1.083
SupervisedDense	nottarget	contr7	n	nottarget	1	0.568
SupervisedDense	nottarget	contr12	n	nottarget	1	0.585
SupervisedDense	target	test6	x	target	1	0.641
SupervisedDense	nottarget	contr6	n	nottarget	1	0.615
SupervisedDense	nottarget	contr5	n	nottarget	1	0.503
SupervisedDense	target	test10	x	target	1	0.563
SupervisedDense	target	test14	x	target	1	0.565
SupervisedDense	target	test11	x	target	1	0.422
SupervisedDense	nottarget	contr1	n	nottarget	1	0.559
SupervisedDense	nottarget	catch6	x	target	0	0.615
SupervisedDense	nottarget	contr3	n	nottarget	1	0.607
SupervisedDense	nottarget	catch2	x	target	0	0.640
SupervisedDense	nottarget	contr10	n	nottarget	1	0.694
SupervisedDense	nottarget	catch4	x	target	0	0.635
SupervisedDense	nottarget	contr13	n	nottarget	1	0.528
SupervisedDense	nottarget	catch1	x	target	0	0.748
SupervisedDense	target	test7	x	target	1	0.959
SupervisedDense	target	test3	x	target	1	0.544
SupervisedDense	target	test15	x	target	1	0.537
SupervisedDense	nottarget	contr11	n	nottarget	1	0.676
SupervisedDense	target	test12	x	target	1	0.706
SupervisedDense	nottarget	contr4	n	nottarget	1	0.702
SupervisedDense	nottarget	catch7	x	target	0	2.577
SupervisedDense	nottarget	contr2	n	nottarget	1	0.775
SupervisedDense	nottarget	contr14	n	nottarget	1	0.624
SupervisedDense	target	test2	x	target	1	0.591
SupervisedDense	target	test13	x	target	1	0.447
UnsupervisedDense	nottarget	contr2	n	nottarget	1	1.373
UnsupervisedDense	target	test4	x	target	1	0.846
UnsupervisedDense	target	test8	x	target	1	0.571
UnsupervisedDense	nottarget	contr3	n	nottarget	1	0.651
UnsupervisedDense	nottarget	contr16	n	nottarget	1	0.602
UnsupervisedDense	target	test2	x	target	1	0.785
UnsupervisedDense	nottarget	catch1	None	None	0	9999.000
UnsupervisedDense	nottarget	catch2	None	None	0	9999.000
UnsupervisedDense	nottarget	contr9	n	nottarget	1	0.812
UnsupervisedDense	nottarget	contr7	n	nottarget	1	0.612
UnsupervisedDense	nottarget	catch8	n	nottarget	1	3.219
UnsupervisedDense	nottarget	catch7	n	nottarget	1	1.007
UnsupervisedDense	nottarget	catch4	n	nottarget	1	0.783
UnsupervisedDense	target	test11	x	target	1	0.504
UnsupervisedDense	target	test3	x	target	1	0.467
UnsupervisedDense	nottarget	contr1	n	nottarget	1	0.866
UnsupervisedDense	target	test7	x	target	1	1.735
UnsupervisedDense	nottarget	contr4	n	nottarget	1	1.271
UnsupervisedDense	target	test16	x	target	1	0.796
UnsupervisedDense	target	test10	x	target	1	0.412
UnsupervisedDense	target	test9	x	target	1	0.453
UnsupervisedDense	nottarget	contr6	n	nottarget	1	0.585
UnsupervisedDense	nottarget	contr14	n	nottarget	1	0.379
UnsupervisedDense	target	test12	n	nottarget	0	0.443
UnsupervisedDense	nottarget	contr10	n	nottarget	1	0.001
UnsupervisedDense	nottarget	contr11	n	nottarget	1	0.747
UnsupervisedDense	target	test13	x	target	1	0.485
UnsupervisedDense	nottarget	contr8	n	nottarget	1	0.547
UnsupervisedDense	nottarget	contr15	x	target	0	3.013
UnsupervisedDense	target	test5	x	target	1	1.833
UnsupervisedDense	nottarget	contr12	None	None	0	9999.000
UnsupervisedDense	target	test14	x	target	1	0.673
UnsupervisedDense	nottarget	contr13	n	nottarget	1	2.935
UnsupervisedDense	target	test6	x	target	1	0.551
UnsupervisedDense	nottarget	catch6	n	nottarget	1	2.593
UnsupervisedDense	nottarget	contr5	n	nottarget	1	2.638
UnsupervisedDense	nottarget	catch5	n	nottarget	1	0.938
UnsupervisedDense	target	test15	x	target	1	0.492
UnsupervisedDense	nottarget	catch3	n	nottarget	1	1.352
UnsupervisedDense	target	test1	x	target	1	0.482
