SubjectID,celf_rs_raw,celf_rs_ss,ravens,towre_pde_raw,towre_pde_ss,wa_raw,wa_ss,age,gender
7001,80,9,18,50,93,29,100,20,M
7002,96,14,11,50,93,28,98,19,F
7003,74,7,12,48,91,24,90,18,F
7004,89,11,17,39,82,25,92,18,F
7005,86,10,14,48,91,25,92,18,F
7006,94,13,15,49,92,32,119,20,F
7007,71,6,14,47,90,30,106,19,M
7008,86,10,20,60,112,32,120,19,F
7009,NA,NA,14,54,97,30,106,18,F
7010,93,13,24,57,103,30,106,18,F
7011,80,9,17,62,120,32,119,20,F
7012,92,12,22,56,100,30,105,20,F
7013,83,10,21,52,95,31,114,18,M
7014,80,9,12,30,76,26,93,19,F
7015,85,10,15,56,100,30,106,18,F
7016,85,10,12,57,103,29,100,20,F
7017,84,10,7,59,109,31,114,18,F
7018,91,12,11,56,100,27,96,18,F
7019,91,12,19,44,86,23,88,19,F
7020,79,8,5,39,82,25,91,19,F
7021,92,12,17,43,85,24,89,19,M
7022,82,9,15,52,95,28,98,19,F
7023,91,12,18,56,100,27,96,18,F
7024,82,9,9,61,115,30,106,18,F
7025,80,9,18,44,86,32,120,19,F
7026,81,9,10,56,100,27,95,21,F
7027,89,11,19,56,100,28,98,19,F
7028,88,11,10,49,92,28,98,18,F
7029,91,12,19,52,95,25,92,18,F
7030,80,9,8,32,77,21,85,18,F
7031,81,9,18,55,98,30,106,19,F
7032,82,9,16,47,90,25,91,19,F
7033,81,9,14,38,81,25,92,18,F
7034,87,11,16,52,95,31,112,21,F
7035,87,11,15,51,94,29,101,18,M
7036,93,13,19,54,97,27,95,19,F
7037,95,13,14,58,106,31,113,19,F
7038,86,10,12,48,91,26,93,20,F
7039,96,14,9,46,89,30,106,18,F
7040,87,11,11,52,95,31,112,20,F
7041,92,12,8,52,95,24,89,19,F
7042,87,11,NA,45,87,29,101,18,F
7043,80,9,15,43,85,24,89,19,F
7044,92,12,2,43,85,30,106,19,F
7045,90,12,10,58,106,30,106,18,F
7046,91,12,4,53,96,29,100,20,F
7047,96,14,20,59,109,30,106,19,F
7048,84,10,20,42,84,25,92,18,M
7049,95,13,19,59,109,28,98,18,F
7050,78,8,15,50,93,29,100,20,M
7051,84,10,16,58,106,26,94,18,M
7052,83,10,5,55,98,27,94,22,F
7053,76,8,14,53,96,28,97,21,M
7054,94,13,14,53,96,26,93,19,F
7055,96,14,19,57,103,29,101,19,F
7056,87,11,13,53,96,30,106,18,F
7057,87,11,21,55,98,27,96,18,M
7058,76,8,11,56,100,26,93,21,F
7059,87,11,12,54,97,30,105,19,M
7060,93,13,19,63,>120,31,113,19,M
7061,90,12,10,51,94,22,86,20,F
7062,88,11,20,58,106,29,100,20,M
7063,80,9,18,56,100,29,101,19,M
7064,80,9,16,39,82,24,89,20,F
7065,92,12,8,33,78,21,85,18,M
7066,95,13,12,42,84,26,94,18,F
7067,79,8,17,40,83,20,83,19,F
7068,95,13,17,54,97,29,101,18,F
7069,89,11,11,46,89,25,92,18,F
7070,93,13,13,59,109,31,113,19,F
7071,85,10,18,51,94,27,96,18,F
7072,88,11,16,49,92,29,101,18,F
7073,94,13,14,53,96,30,106,19,M
7074,90,12,13,42,84,25,91,19,F
7075,86,10,5,46,89,28,97,20,F
7076,91,12,16,56,100,29,101,18,M
7077,95,13,14,50,93,32,120,19,M
7078,94,13,17,48,91,29,100,20,F
7079,86,10,17,57,103,30,106,18,F
7080,89,11,10,51,94,29,101,19,F
7081,94,13,4,50,93,27,95,19,F
7082,95,13,22,50,93,27,96,18,F
7083,94,13,17,58,106,29,101,19,F
7084,90,12,15,48,91,32,120,18,M
7085,88,11,8,36,80,20,83,18,F
7086,86,10,12,50,93,29,101,18,M
7087,93,13,23,49,92,28,98,18,F
7088,96,14,21,47,90,31,114,18,M
7089,90,12,9,43,85,26,93,20,F
7090,85,10,12,45,87,26,93,19,M
7091,84,10,18,45,87,28,98,18,F
7092,92,12,8,60,112,28,98,19,F
7093,90,12,15,47,90,25,91,20,M
7094,82,9,1,46,89,27,96,18,F
7095,88,11,21,44,86,27,95,19,M
7096,87,11,14,49,92,27,96,18,M
7097,89,11,15,53,96,32,120,18,F
7098,84,10,7,54,97,29,100,20,F
7099,89,11,21,55,98,27,95,19,F
7100,91,12,13,59,109,30,106,19,F
7101,92,12,13,60,112,29,101,18,F
7102,94,13,16,62,120,29,101,18,F
7103,NA,NA,19,61,115,30,105,20,F
7104,88,11,21,59,109,29,100,20,F
7105,87,11,17,50,93,30,106,19,M
7106,87,11,7,37,81,22,86,19,F
7107,92,12,15,56,100,31,113,19,M
7108,89,11,13,54,97,29,101,19,F
7109,93,13,16,56,100,28,98,19,F
7110,92,12,26,60,112,32,120,19,M
7111,90,12,16,47,90,26,93,20,F
7112,88,11,19,50,93,28,97,20,F
7113,89,11,17,51,94,30,105,20,F
7114,85,10,20,62,120,31,114,18,F
7115,79,8,14,44,86,29,101,18,F
7116,87,11,15,48,91,25,91,19,F
7117,90,12,18,45,87,25,92,18,M
7118,90,12,13,60,112,25,91,19,F
7119,80,9,16,55,98,27,95,19,M
7120,85,10,23,51,94,27,96,18,M
7121,95,13,11,57,103,27,95,20,F
7122,78,8,18,45,87,27,95,19,M
7123,88,11,22,55,98,31,112,20,F
7124,92,12,21,52,95,28,98,18,F
7125,80,9,21,54,97,29,101,18,M
7126,86,10,20,61,115,30,104,21,F
7127,92,12,20,53,96,27,95,19,F
7128,80,9,8,55,98,27,95,20,F
7129,75,7,17,38,81,23,87,20,M
7130,64,5,19,47,90,26,93,21,M
7131,81,9,13,54,97,29,101,18,M
7132,88,11,17,59,109,30,106,18,M
7133,92,12,16,53,96,30,106,19,F
7134,89,11,19,54,97,28,98,19,F
7135,92,12,1,56,100,24,90,18,F
7136,66,5,15,43,85,27,95,20,F
7137,93,13,19,63,>120,31,113,19,F
7138,83,10,15,46,89,22,86,18,F
7139,86,10,17,59,109,27,95,19,F
7140,89,11,22,56,100,28,98,19,F
7141,87,11,21,51,94,27,96,18,F
7142,89,11,11,55,98,28,97,21,F
7143,78,8,9,36,80,21,84,19,F
7144,89,11,20,57,103,32,120,19,F
7145,93,13,15,60,112,32,120,18,F
7146,92,12,17,28,74,22,86,18,F
7147,92,12,11,56,100,30,106,18,M
7148,81,9,11,47,90,22,86,20,F
7149,94,13,15,41,84,28,98,19,F
7150,89,11,15,50,93,30,106,18,M
7151,84,10,20,42,84,31,113,19,F
7152,80,9,15,56,100,30,106,18,F
7153,80,9,18,55,98,30,106,19,F
7154,86,10,15,57,103,27,95,19,M
7155,90,12,20,55,98,27,96,18,M
7156,78,8,15,47,90,29,101,18,M
7157,87,11,9,44,86,27,95,19,M
7158,81,9,12,53,96,31,113,18,M
7159,86,10,12,53,96,27,95,19,F
7160,92,12,16,55,98,30,106,18,F
7161,93,13,20,55,98,30,106,18,F
7162,89,11,17,57,103,31,113,19,F
7163,92,12,16,54,97,29,101,19,F
7164,84,10,13,57,103,30,105,20,M
7165,83,10,16,48,91,24,89,19,F
7166,71,6,16,58,106,30,106,19,M
7167,88,11,20,55,98,28,98,18,F
7168,84,10,18,55,98,31,NA,NA,NA
7169,94,13,15,42,84,26,93,20,M
7170,91,12,0,52,95,29,101,19,F
7171,89,11,24,52,95,31,113,19,F
7172,80,9,20,51,94,30,106,18,F
7173,88,11,14,53,96,27,95,19,F
7174,80,9,15,50,93,28,98,19,F
7175,90,12,22,61,115,31,114,18,F
7176,95,13,17,45,87,31,113,18,F
7177,93,13,24,54,97,30,106,18,F
7178,89,11,16,52,95,26,94,18,F
7179,91,12,13,51,94,30,106,18,M
7180,93,13,19,54,97,27,95,19,F
7181,90,12,16,52,95,28,97,20,F
7182,88,11,17,56,100,31,114,18,M
7183,87,11,20,57,103,29,101,18,M
7184,89,11,16,53,96,28,98,18,F
7185,93,13,19,58,106,29,101,18,F
7186,96,14,11,59,109,29,101,19,F
7187,77,8,17,51,94,29,101,19,F
7188,86,10,15,53,96,32,120,19,M
7189,91,12,12,55,98,29,101,18,F
7190,81,9,9,42,84,18,79,22,F
7191,79,8,4,27,73,17,79,18,F
7192,74,7,9,55,98,27,95,20,F
7193,90,12,13,62,120,29,101,18,F
7194,87,11,15,48,91,25,91,19,F
7195,85,10,5,54,97,29,101,19,F
7196,93,13,16,60,112,31,112,20,M
7197,68,6,17,46,89,28,98,19,F
7198,91,12,16,57,103,28,98,19,F
7199,92,12,14,60,112,30,106,18,M
7200,83,10,10,60,112,31,112,21,F
7201,80,9,13,51,94,26,93,20,F
7202,90,12,7,59,109,31,113,18,M
7203,82,9,12,49,92,25,91,20,F
7204,58,3,13,38,81,16,77,19,M
7205,82,9,17,44,86,22,85,21,F
7206,92,12,15,50,93,27,96,18,M
7207,88,11,12,59,109,29,101,19,F
7208,92,12,18,55,98,28,98,19,F
7209,79,8,18,50,93,24,89,21,F
7210,86,10,15,38,81,24,89,19,F
7211,86,10,9,55,98,30,106,18,M
7212,94,13,19,60,112,29,100,20,F
7213,82,9,15,60,112,31,112,20,F
7214,84,10,15,36,80,19,81,19,F
7215,95,13,14,57,103,30,106,19,M
7216,82,9,7,54,97,29,100,21,F
7217,84,10,20,58,106,29,101,18,F
7218,89,11,25,54,97,26,93,21,M
7219,75,7,17,45,87,24,89,19,M
7220,89,11,17,57,103,28,98,19,F
7221,86,10,20,55,98,24,90,18,F
7222,77,8,20,38,81,26,93,21,F
7223,83,10,16,49,92,29,100,20,F
7224,78,8,19,61,115,29,101,18,M
7225,76,8,14,52,95,28,97,20,M
7226,94,13,15,58,106,30,106,19,M
7227,90,12,17,NA,NA,28,97,21,M
7228,87,11,18,52,95,25,91,20,F
7229,89,11,16,56,100,31,113,19,F
7230,84,10,17,62,120,29,100,19,M
7231,88,11,10,58,106,28,98,19,F
7232,76,8,14,15,59,15,75,19,M
7233,84,10,16,53,96,28,98,18,M
7234,88,11,13,42,84,32,119,20,M
7235,87,11,6,51,94,27,96,18,M
7236,94,13,13,41,84,30,106,18,M
