Subject,Score
7001,64
7002,78
7003,60
7004,47
7005,51
7006,76
7007,57
7008,74
7009,54
7010,0
7010,66
7011,65
7012,76
7013,75
7014,49
7015,69
7016,56
7017,56
7018,47
7019,73
7020,46
7021,64
7022,53
7023,59
7025,62
7024,53
7026,59
7027,76
7028,71
7029,69
7030,56
7031,75
7032,58
7033,60
7034,68
7035,69
7036,75
7037,70
7038,50
7039,53
7040,62
7041,64
7042,67
7043,57
7044,56
7046,56
7045,71
7047,70
7048,58
7050,67
7051,56
7053,55
7052,64
7054,62
7055,73
7056,64
7057,67
7058,68
7059,71
7060,74
7061,56
7062,60
7063,70
7064,64
7066,58
7065,58
7067,47
7068,58
7069,72
7070,76
7072,60
7071,58
7073,67
7074,53
7075,48
7076,67
7077,76
7078,59
7079,55
7081,58
7080,69
7082,73
7083,60
7084,74
7085,58
7086,63
7087,74
7088,70
7089,51
7100,60
7101,58
7091,62
7102,58
7103,62
7104,59
7105,64
7106,49
7107,69
7108,54
7109,62
7110,77
7111,59
7092,68
7090,47
7093,52
7094,60
7095,55
7096,65
7097,63
7098,64
7099,61
7112,74
7113,51
7114,64
7115,72
7116,52
7117,60
7118,72
7120,69
7119,67
7121,71
7122,63
7123,73
7124,66
7125,59
7126,75
7127,62
7128,64
7129,53
7130,57
7131,63
7132,63
7133,64
7134,54
7135,61
7136,59
7137,69
7138,48
7139,63
7140,74
7141,66
7142,61
7143,43
7144,66
7145,69
7146,58
7147,71
7148,55
7149,59
7150,54
7151,62
7152,58
7153,69
7154,58
7155,71
7156,64
7158,60
7157,55
7159,39
7160,70
7161,71
7162,63
7163,68
7164,47
7165,57
7166,67
7167,55
7168,73
7169,76
7170,53
7171,62
7172,64
7173,63
7174,68
7175,69
7176,59
7177,68
7179,64
7178,70
7180,61
7181,68
7182,58
7183,61
7184,68
7185,60
7186,75
7187,65
7188,74
7189,49
7190,47
7191,64
7192,58
7193,69
7194,53
7195,59
7196,77
7197,32
7198,62
7199,65
7200,40
7201,53
7202,65
7203,54
7204,29
7205,74
7206,67
7208,48
7207,63
7209,61
7210,62
7211,62
7212,73
7213,53
7217,66
7217,72
7218,74
7219,56
7220,64
7221,65
7222,60
7223,64
7224,53
7225,71
7226,69
7227,68
7228,57
7229,58
7230,66
7231,54
7232,52
7233,62
7234,57
7235,51
7236,75
