Subject,Type,Block,Trial,Category,KEY,RESP,Accuracy,RT
8077,II,1,1,b,j,b,1,1.89
8077,II,1,2,a,j,b,0,0.7559999999999999
8077,II,1,3,a,d,a,1,1.5319999999999998
8077,II,1,4,b,d,a,0,0.754
8077,II,1,5,a,j,b,0,1.219
8077,II,1,6,a,j,b,0,2.262
8077,II,1,7,b,j,b,1,1.8730000000000002
8077,II,1,8,b,j,b,1,1.5859999999999999
8077,II,1,9,b,d,a,0,0.745
8077,II,1,10,b,j,b,1,0.696
8077,II,1,11,a,j,b,0,0.6729999999999999
8077,II,1,12,a,d,a,1,2.546
8077,II,1,13,a,d,a,1,0.617
8077,II,1,14,b,j,b,1,1.6059999999999999
8077,II,1,15,b,j,b,1,0.907
8077,II,1,16,b,d,a,0,0.611
8077,II,1,17,b,d,a,0,1.5530000000000002
8077,II,1,18,a,j,b,0,0.9520000000000001
8077,II,1,19,a,j,b,0,0.679
8077,II,1,20,b,j,b,1,0.897
8077,II,1,21,b,d,a,0,0.897
8077,II,1,22,a,d,a,1,1.435
8077,II,1,23,b,d,a,0,1.1440000000000001
8077,II,1,24,a,j,b,0,0.67
8077,II,1,25,b,d,a,0,0.585
8077,II,1,26,b,j,b,1,1.287
8077,II,1,27,b,d,a,0,2.177
8077,II,1,28,b,d,a,0,0.614
8077,II,1,29,b,d,a,0,0.38
8077,II,1,30,a,j,b,0,0.537
8077,II,1,31,a,j,b,0,0.505
8077,II,1,32,a,j,b,0,0.54
8077,II,1,33,a,j,b,0,0.491
8077,II,1,34,a,j,b,0,0.807
8077,II,1,35,a,d,a,1,0.53
8077,II,1,36,b,j,b,1,0.642
8077,II,1,37,b,j,b,1,0.613
8077,II,1,38,a,d,a,1,0.40299999999999997
8077,II,1,39,a,d,a,1,0.376
8077,II,1,40,b,j,b,1,0.439
8077,II,1,41,b,d,a,0,0.29
8077,II,1,42,a,j,b,0,0.332
8077,II,1,43,a,j,b,0,1.2919999999999998
8077,II,1,44,a,d,a,1,0.0
8077,II,1,45,a,d,a,1,0.9
8077,II,1,46,b,j,b,1,0.501
8077,II,1,47,a,d,a,1,0.525
8077,II,1,48,a,j,b,0,0.462
8077,II,1,49,b,j,b,1,0.912
8077,II,1,50,a,d,a,1,0.465
8077,II,1,51,a,j,b,0,0.38799999999999996
8077,II,1,52,b,j,b,1,0.546
8077,II,1,53,a,d,a,1,0.33
8077,II,1,54,b,j,b,1,0.418
8077,II,1,55,b,d,a,0,0.303
8077,II,1,56,a,d,a,1,0.273
8077,II,1,57,b,j,b,1,0.402
8077,II,1,58,b,j,b,1,0.431
8077,II,1,59,b,d,a,0,0.35600000000000004
8077,II,1,60,a,d,a,1,1.033
8077,II,1,61,b,j,b,1,0.013999999999999999
8077,II,1,62,b,d,a,0,0.252
8077,II,1,63,a,d,a,1,0.415
8077,II,1,64,a,j,b,0,0.34700000000000003
8077,II,1,65,b,j,b,1,0.355
8077,II,1,66,a,d,a,1,0.9640000000000001
8077,II,1,67,a,d,a,1,0.48100000000000004
8077,II,1,68,b,d,a,0,0.42700000000000005
8077,II,1,69,b,d,a,0,0.336
8077,II,1,70,b,j,b,1,0.488
8077,II,1,71,a,j,b,0,0.474
8077,II,1,72,b,j,b,1,0.301
8077,II,1,73,a,d,a,1,0.23
8077,II,1,74,a,j,b,0,0.489
8077,II,1,75,a,j,b,0,0.26
8077,II,1,76,b,d,a,0,0.038
8077,II,1,77,b,d,a,0,0.826
8077,II,1,78,b,d,a,0,0.366
8077,II,1,79,a,j,b,0,0.285
8077,II,1,80,a,j,b,0,0.376
8123,II,3,1,a,d,a,1,0.0
8123,II,3,2,b,j,b,1,0.7609999999999999
8123,II,3,3,b,j,b,1,0.623
8123,II,3,4,b,j,b,1,0.45899999999999996
8123,II,3,5,b,d,a,0,1.006
8123,II,3,6,a,j,b,0,0.762
8123,II,3,7,a,d,a,1,0.753
8123,II,3,8,b,j,b,1,1.073
8123,II,3,9,b,j,b,1,0.586
8123,II,3,10,a,d,a,1,0.7609999999999999
8123,II,3,11,a,d,a,1,0.768
8123,II,3,12,a,d,a,1,0.598
8123,II,3,13,b,j,b,1,0.556
8123,II,3,14,a,d,a,1,0.866
8123,II,3,15,b,j,b,1,0.612
8123,II,3,16,b,j,b,1,0.7140000000000001
8123,II,3,17,a,j,b,0,1.0190000000000001
8123,II,3,18,b,j,b,1,0.639
8123,II,3,19,b,j,b,1,0.578
8123,II,3,20,a,d,a,1,0.943
8123,II,3,21,b,j,b,1,0.7829999999999999
8123,II,3,22,b,j,b,1,0.598
8123,II,3,23,b,j,b,1,0.426
8123,II,3,24,a,j,b,0,0.423
8123,II,3,25,a,d,a,1,0.7240000000000001
8123,II,3,26,a,j,b,0,0.531
8123,II,3,27,a,d,a,1,0.507
8123,II,3,28,a,d,a,1,0.7090000000000001
