Subject,Run,Type,Trial,Category,key_pressed,RESP,Accuracy,RT
8185,1,RB,1,a,j,b,0,0.853
8185,1,RB,2,a,j,b,0,0.499
8185,1,RB,3,b,d,a,0,0.501
8185,1,RB,4,b,d,a,0,0.775
8185,1,RB,5,b,j,b,1,0.973
8185,1,RB,6,b,d,a,0,0.98
8185,1,RB,7,a,j,b,0,0.667
8185,1,RB,8,b,j,b,1,1.222
8185,1,RB,9,a,j,b,0,0.8029999999999999
8185,1,RB,10,a,d,a,1,2.497
8185,1,RB,11,b,d,a,0,1.0979999999999999
8185,1,RB,12,b,j,b,1,1.476
8185,1,RB,13,a,d,a,1,1.3419999999999999
8185,1,RB,14,b,d,a,0,0.838
8185,1,RB,15,b,j,b,1,1.043
8185,1,RB,16,a,d,a,1,0.943
8185,1,RB,17,a,j,b,0,1.919
8185,1,RB,18,a,d,a,1,1.1520000000000001
8185,1,RB,19,b,j,b,1,0.888
8185,1,RB,20,a,j,b,0,0.6579999999999999
8185,1,RB,21,a,d,a,1,0.7490000000000001
8185,1,RB,22,b,j,b,1,1.2309999999999999
8185,1,RB,23,a,d,a,1,1.034
8185,1,RB,24,a,d,a,1,1.063
8185,1,RB,25,b,j,b,1,0.601
8185,1,RB,26,a,j,b,0,0.7759999999999999
8185,1,RB,27,a,d,a,1,0.703
8185,1,RB,28,b,j,b,1,0.6729999999999999
8185,1,RB,29,b,j,b,1,0.6829999999999999
8185,1,RB,30,a,d,a,1,0.527
8185,1,RB,31,b,d,a,0,1.167
8185,1,RB,32,b,j,b,1,1.126
8185,1,RB,33,a,d,a,1,0.7979999999999999
8185,1,RB,34,a,d,a,1,1.244
8185,1,RB,35,b,j,b,1,0.897
8185,1,RB,36,b,d,a,0,1.058
8185,1,RB,37,a,j,b,0,1.263
8185,1,RB,38,b,d,a,0,0.5760000000000001
8185,1,RB,39,b,j,b,1,0.711
8185,1,RB,40,b,j,b,1,0.602
8185,1,RB,41,a,j,b,0,0.5660000000000001
8185,1,RB,42,b,j,b,1,1.143
8185,1,RB,43,b,d,a,0,0.992
8185,1,RB,44,a,d,a,1,1.22
8185,1,RB,45,a,j,b,0,2.594
8185,1,RB,46,b,j,b,1,1.599
8185,1,RB,47,b,j,b,1,0.932
8185,1,RB,48,a,d,a,1,0.7170000000000001
8185,1,RB,49,b,d,a,0,1.7819999999999998
8185,1,RB,50,a,d,a,1,0.9159999999999999
8185,1,RB,51,a,j,b,0,0.855
8185,1,RB,52,b,j,b,1,0.713
8185,1,RB,53,a,d,a,1,0.6990000000000001
8185,1,RB,54,a,d,a,1,0.5579999999999999
8185,1,RB,55,b,d,a,0,0.7490000000000001
8185,1,RB,56,b,d,a,0,0.5329999999999999
8185,1,RB,57,a,j,b,0,0.446
8185,1,RB,58,b,d,a,0,0.48100000000000004
8185,1,RB,59,b,d,a,0,1.4769999999999999
8185,1,RB,60,a,d,a,1,0.927
8185,1,RB,61,b,d,a,0,0.792
8185,1,RB,62,a,d,a,1,1.574
8185,1,RB,63,a,d,a,1,0.659
8185,1,RB,64,b,d,a,0,0.775
8185,1,RB,65,a,d,a,1,1.494
8185,1,RB,66,b,j,b,1,0.9520000000000001
8185,1,RB,67,a,j,b,0,1.232
8185,1,RB,68,b,d,a,0,0.6679999999999999
8185,1,RB,69,b,d,a,0,0.504
8185,1,RB,70,a,d,a,1,0.9390000000000001
8185,1,RB,71,a,d,a,1,0.619
8185,1,RB,72,a,j,b,0,0.408
8185,1,RB,73,a,d,a,1,1.166
8185,1,RB,74,b,d,a,0,1.804
8185,1,RB,75,b,d,a,0,0.643
8185,1,RB,76,a,d,a,1,0.6779999999999999
8185,1,RB,77,b,j,b,1,0.8170000000000001
8185,1,RB,78,b,j,b,1,0.895
8185,1,RB,79,a,d,a,1,0.736
8185,1,RB,80,a,d,a,1,2.21
8185,2,RB,81,a,d,a,1,0.7020000000000001
8185,2,RB,82,a,d,a,1,0.625
8185,2,RB,83,b,j,b,1,0.74
8185,2,RB,84,b,j,b,1,1.18
8185,2,RB,85,b,d,a,0,0.629
8185,2,RB,86,b,d,a,0,1.296
8185,2,RB,87,a,j,b,0,0.746
8185,2,RB,88,b,d,a,0,0.569
8185,2,RB,89,a,d,a,1,0.609
8185,2,RB,90,a,d,a,1,0.551
8185,2,RB,91,b,j,b,1,0.871
8185,2,RB,92,b,d,a,0,1.186
8185,2,RB,93,a,d,a,1,0.617
8185,2,RB,94,b,d,a,0,0.982
8185,2,RB,95,b,d,a,0,0.46799999999999997
8185,2,RB,96,a,d,a,1,0.633
8185,2,RB,97,a,j,b,0,0.804
8185,2,RB,98,a,d,a,1,0.9790000000000001
8185,2,RB,99,b,d,a,0,1.034
8185,2,RB,100,a,d,a,1,0.701
8185,2,RB,101,a,d,a,1,0.721
8185,2,RB,102,b,j,b,1,0.705
8185,2,RB,103,a,d,a,1,0.6829999999999999
8185,2,RB,104,a,d,a,1,1.119
8185,2,RB,105,b,j,b,1,0.583
8185,2,RB,106,a,d,a,1,0.7020000000000001
8185,2,RB,107,a,j,b,0,0.5920000000000001
8185,2,RB,108,b,j,b,1,0.654
8185,2,RB,109,b,d,a,0,0.579
8185,2,RB,110,a,d,a,1,0.385
8185,2,RB,111,b,j,b,1,1.272
8185,2,RB,112,b,d,a,0,0.611
8185,2,RB,113,a,d,a,1,0.401
8185,2,RB,114,a,j,b,0,0.575
8185,2,RB,115,b,j,b,1,0.982
8185,2,RB,116,b,d,a,0,0.5
8185,2,RB,117,a,d,a,1,0.35700000000000004
8185,2,RB,118,b,j,b,1,0.7170000000000001
8185,2,RB,119,b,d,a,0,0.455
8185,2,RB,120,b,d,a,0,0.418
8185,2,RB,121,a,j,b,0,0.775
8185,2,RB,122,b,d,a,0,0.552
8185,2,RB,123,b,d,a,0,1.015
8185,2,RB,124,a,d,a,1,0.47600000000000003
8185,2,RB,125,a,j,b,0,1.215
8185,2,RB,126,b,j,b,1,0.35600000000000004
8185,2,RB,127,b,d,a,0,0.748
8185,2,RB,128,a,d,a,1,0.268
8185,2,RB,129,b,j,b,1,1.4869999999999999
8185,2,RB,130,a,d,a,1,0.97
8185,2,RB,131,a,j,b,0,0.785
8185,2,RB,132,b,j,b,1,0.29600000000000004
8185,2,RB,133,a,d,a,1,0.642
8185,2,RB,134,a,j,b,0,0.7090000000000001
8185,2,RB,135,b,d,a,0,0.391
8185,2,RB,136,b,d,a,0,0.414
8185,2,RB,137,a,d,a,1,1.205
8185,2,RB,138,b,j,b,1,1.297
8185,2,RB,139,b,d,a,0,0.6509999999999999
8185,2,RB,140,a,d,a,1,0.302
8185,2,RB,141,b,d,a,0,1.0490000000000002
8185,2,RB,142,a,d,a,1,0.9329999999999999
8185,2,RB,143,a,d,a,1,0.941
8185,2,RB,144,b,j,b,1,0.7909999999999999
8185,2,RB,145,a,d,a,1,0.747
8185,2,RB,146,b,j,b,1,0.667
8185,2,RB,147,a,d,a,1,0.84
8185,2,RB,148,b,j,b,1,0.8340000000000001
8185,2,RB,149,b,d,a,0,0.6709999999999999
8185,2,RB,150,a,d,a,1,0.387
8185,2,RB,151,a,d,a,1,0.586
8185,2,RB,152,a,j,b,0,0.337
8185,2,RB,153,a,j,b,0,0.61
8185,2,RB,154,b,d,a,0,0.462
8185,2,RB,155,b,d,a,0,0.426
8185,2,RB,156,a,d,a,1,0.711
8185,2,RB,157,b,d,a,0,1.24
8185,2,RB,158,b,j,b,1,0.644
8185,2,RB,159,a,d,a,1,0.762
8185,2,RB,160,a,d,a,1,1.159
8185,3,RB,161,a,d,a,1,0.767
