Subject,Block,StimType,Trial,Stimulus,KEY,RESP,Accuracy,RT
8040,SupervisedSparse,nottarget,1,catch4,n,nottarget,1,3.361
8040,SupervisedSparse,target,2,test14,x,target,1,1.046
8040,SupervisedSparse,target,3,test1,x,target,1,0.561
8040,SupervisedSparse,nottarget,4,contr15,n,nottarget,1,0.736
8040,SupervisedSparse,nottarget,5,contr4,n,nottarget,1,0.5760000000000001
8040,SupervisedSparse,nottarget,6,contr6,n,nottarget,1,0.38299999999999995
8040,SupervisedSparse,target,7,test13,x,target,1,0.5710000000000001
8040,SupervisedSparse,nottarget,8,contr9,n,nottarget,1,0.45899999999999996
8040,SupervisedSparse,nottarget,9,contr10,n,nottarget,1,0.5579999999999999
8040,SupervisedSparse,nottarget,10,catch8,n,nottarget,1,0.956
8040,SupervisedSparse,nottarget,11,contr11,n,nottarget,1,0.515
8040,SupervisedSparse,target,12,test8,x,target,1,0.363
8040,SupervisedSparse,target,13,test7,x,target,1,0.37
8040,SupervisedSparse,nottarget,14,catch7,n,nottarget,1,0.672
8040,SupervisedSparse,nottarget,15,contr12,n,nottarget,1,0.555
8040,SupervisedSparse,nottarget,16,contr3,n,nottarget,1,0.33
8040,SupervisedSparse,nottarget,17,contr13,n,nottarget,1,0.322
8040,SupervisedSparse,target,18,test15,x,target,1,0.475
8040,SupervisedSparse,target,19,test4,x,target,1,0.31
8040,SupervisedSparse,nottarget,20,catch6,n,nottarget,1,0.397
8040,SupervisedSparse,target,21,test6,x,target,1,0.5710000000000001
8040,SupervisedSparse,nottarget,22,catch3,n,nottarget,1,0.5379999999999999
8040,SupervisedSparse,nottarget,23,catch1,n,nottarget,1,0.39299999999999996
8040,SupervisedSparse,nottarget,24,contr2,n,nottarget,1,0.423
8040,SupervisedSparse,target,25,test11,x,target,1,0.66
8040,SupervisedSparse,nottarget,26,contr1,n,nottarget,1,0.47100000000000003
8040,SupervisedSparse,nottarget,27,catch5,n,nottarget,1,0.514
8040,SupervisedSparse,target,28,test10,x,target,1,0.49
8040,SupervisedSparse,target,29,test2,x,target,1,0.612
8040,SupervisedSparse,target,30,test3,x,target,1,0.376
8040,SupervisedSparse,target,31,test5,x,target,1,0.5670000000000001
8040,SupervisedSparse,nottarget,32,contr5,n,nottarget,1,0.502
8040,SupervisedSparse,target,33,test12,x,target,1,0.501
8040,SupervisedSparse,nottarget,34,catch2,n,nottarget,1,0.46399999999999997
8040,SupervisedSparse,target,35,test9,x,target,1,0.555
8040,SupervisedSparse,nottarget,36,contr16,n,nottarget,1,0.682
8040,SupervisedSparse,target,37,test16,x,target,1,0.42
8040,SupervisedSparse,nottarget,38,contr8,n,nottarget,1,0.465
8040,SupervisedSparse,nottarget,39,contr7,n,nottarget,1,0.564
8040,SupervisedSparse,nottarget,40,contr14,n,nottarget,1,0.37
8040,SupervisedDense,target,1,test10,x,target,1,1.8730000000000002
8040,SupervisedDense,nottarget,2,catch4,n,nottarget,1,0.9209999999999999
8040,SupervisedDense,nottarget,3,catch7,n,nottarget,1,0.963
8040,SupervisedDense,nottarget,4,contr12,n,nottarget,1,0.586
8040,SupervisedDense,nottarget,5,contr4,n,nottarget,1,0.447
8040,SupervisedDense,target,6,test11,x,target,1,0.635
8040,SupervisedDense,nottarget,7,contr7,n,nottarget,1,0.496
8040,SupervisedDense,nottarget,8,catch2,n,nottarget,1,0.616
8040,SupervisedDense,nottarget,9,contr8,n,nottarget,1,0.534
8040,SupervisedDense,nottarget,10,catch8,n,nottarget,1,0.478
8040,SupervisedDense,nottarget,11,catch1,n,nottarget,1,0.408
8040,SupervisedDense,target,12,test1,x,target,1,0.62
8040,SupervisedDense,nottarget,13,contr13,n,nottarget,1,0.522
8040,SupervisedDense,nottarget,14,contr11,n,nottarget,1,0.5379999999999999
8040,SupervisedDense,target,15,test8,x,target,1,0.562
8040,SupervisedDense,nottarget,16,contr16,n,nottarget,1,0.449
8040,SupervisedDense,nottarget,17,contr1,n,nottarget,1,0.373
8040,SupervisedDense,nottarget,18,catch6,n,nottarget,1,0.467
8040,SupervisedDense,target,19,test16,x,target,1,0.485
8040,SupervisedDense,nottarget,20,contr3,n,nottarget,1,0.527
8040,SupervisedDense,target,21,test7,x,target,1,0.391
8040,SupervisedDense,target,22,test15,x,target,1,0.5329999999999999
8040,SupervisedDense,nottarget,23,contr5,n,nottarget,1,0.589
8040,SupervisedDense,target,24,test9,x,target,1,0.498
8040,SupervisedDense,nottarget,25,contr9,n,nottarget,1,0.444
8040,SupervisedDense,nottarget,26,catch5,n,nottarget,1,0.496
8040,SupervisedDense,nottarget,27,contr2,n,nottarget,1,0.496
8040,SupervisedDense,target,28,test13,x,target,1,0.498
8040,SupervisedDense,target,29,test12,x,target,1,0.5710000000000001
8040,SupervisedDense,target,30,test14,x,target,1,0.419
8040,SupervisedDense,nottarget,31,catch3,n,nottarget,1,0.38299999999999995
8040,SupervisedDense,target,32,test5,x,target,1,0.589
8040,SupervisedDense,target,33,test4,n,nottarget,0,0.396
8040,SupervisedDense,nottarget,34,contr15,n,nottarget,1,0.88
8040,SupervisedDense,target,35,test2,x,target,1,0.379
8040,SupervisedDense,nottarget,36,contr14,n,nottarget,1,0.49
8040,SupervisedDense,nottarget,37,contr10,n,nottarget,1,0.434
8040,SupervisedDense,target,38,test3,x,target,1,0.51
8040,SupervisedDense,nottarget,39,contr6,n,nottarget,1,0.544
8040,SupervisedDense,target,40,test6,x,target,1,0.455
8040,UnsupervisedSparse,target,1,test11,n,nottarget,0,4.6419999999999995
8040,UnsupervisedSparse,target,2,test4,x,target,1,0.7240000000000001
8040,UnsupervisedSparse,nottarget,3,catch8,n,nottarget,1,1.013
8040,UnsupervisedSparse,nottarget,4,contr15,x,target,0,0.7609999999999999
8040,UnsupervisedSparse,nottarget,5,contr9,x,target,0,0.623
8040,UnsupervisedSparse,nottarget,6,contr1,n,nottarget,1,1.052
8040,UnsupervisedSparse,nottarget,7,catch7,n,nottarget,1,0.7979999999999999
8040,UnsupervisedSparse,target,8,test10,n,nottarget,0,0.35700000000000004
8040,UnsupervisedSparse,target,9,test9,x,target,1,0.275
8040,UnsupervisedSparse,nottarget,10,contr7,n,nottarget,1,0.317
8040,UnsupervisedSparse,target,11,test3,x,target,1,0.0
8040,UnsupervisedSparse,nottarget,12,contr2,n,nottarget,1,0.0
8040,UnsupervisedSparse,nottarget,13,contr5,n,nottarget,1,0.945
8040,UnsupervisedSparse,target,14,test15,x,target,1,0.695
8040,UnsupervisedSparse,nottarget,15,catch3,n,nottarget,1,0.48200000000000004
8040,UnsupervisedSparse,target,16,test6,x,target,1,0.66
8040,UnsupervisedSparse,nottarget,17,contr10,n,nottarget,1,1.07
8040,UnsupervisedSparse,nottarget,18,contr4,n,nottarget,1,0.49700000000000005
8040,UnsupervisedSparse,nottarget,19,contr11,x,target,0,0.627
8040,UnsupervisedSparse,target,20,test12,n,nottarget,0,0.326
8040,UnsupervisedSparse,nottarget,21,contr6,x,target,0,0.39899999999999997
8040,UnsupervisedSparse,nottarget,22,catch6,x,target,0,0.278
8040,UnsupervisedSparse,target,23,test14,n,nottarget,0,0.294
8040,UnsupervisedSparse,nottarget,24,contr14,x,target,0,0.568
8040,UnsupervisedSparse,nottarget,25,contr8,x,target,0,0.375
8040,UnsupervisedSparse,nottarget,26,catch4,n,nottarget,1,0.42200000000000004
8040,UnsupervisedSparse,target,27,test7,x,target,1,0.32899999999999996
8040,UnsupervisedSparse,target,28,test2,x,target,1,0.33
8040,UnsupervisedSparse,nottarget,29,catch2,n,nottarget,1,0.61
8040,UnsupervisedSparse,target,30,test8,x,target,1,0.574
