Accuracy,Block,BlockNum,KEY,RESP,RT,StimType,Stimulus,Subject,Trial,key_pressed
1,SupervisedSparse,1,n,nottarget,3.361,nottarget,catch4,8040,1,
1,SupervisedSparse,1,x,target,1.046,target,test14,8040,2,
1,SupervisedSparse,1,x,target,0.561,target,test1,8040,3,
1,SupervisedSparse,1,n,nottarget,0.736,nottarget,contr15,8040,4,
1,SupervisedSparse,1,n,nottarget,0.5760000000000001,nottarget,contr4,8040,5,
1,SupervisedSparse,1,n,nottarget,0.38299999999999995,nottarget,contr6,8040,6,
1,SupervisedSparse,1,x,target,0.5710000000000001,target,test13,8040,7,
1,SupervisedSparse,1,n,nottarget,0.45899999999999996,nottarget,contr9,8040,8,
1,SupervisedSparse,1,n,nottarget,0.5579999999999999,nottarget,contr10,8040,9,
1,SupervisedSparse,1,n,nottarget,0.956,nottarget,catch8,8040,10,
1,SupervisedSparse,1,n,nottarget,0.515,nottarget,contr11,8040,11,
1,SupervisedSparse,1,x,target,0.363,target,test8,8040,12,
1,SupervisedSparse,1,x,target,0.37,target,test7,8040,13,
1,SupervisedSparse,1,n,nottarget,0.672,nottarget,catch7,8040,14,
1,SupervisedSparse,1,n,nottarget,0.555,nottarget,contr12,8040,15,
1,SupervisedSparse,1,n,nottarget,0.33,nottarget,contr3,8040,16,
1,SupervisedSparse,1,n,nottarget,0.322,nottarget,contr13,8040,17,
1,SupervisedSparse,1,x,target,0.475,target,test15,8040,18,
1,SupervisedSparse,1,x,target,0.31,target,test4,8040,19,
1,SupervisedSparse,1,n,nottarget,0.397,nottarget,catch6,8040,20,
1,SupervisedSparse,1,x,target,0.5710000000000001,target,test6,8040,21,
1,SupervisedSparse,1,n,nottarget,0.5379999999999999,nottarget,catch3,8040,22,
1,SupervisedSparse,1,n,nottarget,0.39299999999999996,nottarget,catch1,8040,23,
1,SupervisedSparse,1,n,nottarget,0.423,nottarget,contr2,8040,24,
1,SupervisedSparse,1,x,target,0.66,target,test11,8040,25,
1,SupervisedSparse,1,n,nottarget,0.47100000000000003,nottarget,contr1,8040,26,
1,SupervisedSparse,1,n,nottarget,0.514,nottarget,catch5,8040,27,
1,SupervisedSparse,1,x,target,0.49,target,test10,8040,28,
1,SupervisedSparse,1,x,target,0.612,target,test2,8040,29,
1,SupervisedSparse,1,x,target,0.376,target,test3,8040,30,
1,SupervisedSparse,1,x,target,0.5670000000000001,target,test5,8040,31,
1,SupervisedSparse,1,n,nottarget,0.502,nottarget,contr5,8040,32,
1,SupervisedSparse,1,x,target,0.501,target,test12,8040,33,
1,SupervisedSparse,1,n,nottarget,0.46399999999999997,nottarget,catch2,8040,34,
1,SupervisedSparse,1,x,target,0.555,target,test9,8040,35,
1,SupervisedSparse,1,n,nottarget,0.682,nottarget,contr16,8040,36,
1,SupervisedSparse,1,x,target,0.42,target,test16,8040,37,
1,SupervisedSparse,1,n,nottarget,0.465,nottarget,contr8,8040,38,
1,SupervisedSparse,1,n,nottarget,0.564,nottarget,contr7,8040,39,
1,SupervisedSparse,1,n,nottarget,0.37,nottarget,contr14,8040,40,
1,SupervisedDense,2,x,target,1.8730000000000002,target,test10,8040,1,
1,SupervisedDense,2,n,nottarget,0.9209999999999999,nottarget,catch4,8040,2,
1,SupervisedDense,2,n,nottarget,0.963,nottarget,catch7,8040,3,
1,SupervisedDense,2,n,nottarget,0.586,nottarget,contr12,8040,4,
1,SupervisedDense,2,n,nottarget,0.447,nottarget,contr4,8040,5,
1,SupervisedDense,2,x,target,0.635,target,test11,8040,6,
1,SupervisedDense,2,n,nottarget,0.496,nottarget,contr7,8040,7,
1,SupervisedDense,2,n,nottarget,0.616,nottarget,catch2,8040,8,
