Subject,Block,StimType,Stimulus,KEY,RESP,Accuracy,RT
8040,SupervisedSparse,nottarget,catch4,n,nottarget,1,3.361
8040,SupervisedSparse,target,test14,x,target,1,1.046
8040,SupervisedSparse,target,test1,x,target,1,0.561
8040,SupervisedSparse,nottarget,contr15,n,nottarget,1,0.736
8040,SupervisedSparse,nottarget,contr4,n,nottarget,1,0.5760000000000001
8040,SupervisedSparse,nottarget,contr6,n,nottarget,1,0.38299999999999995
8040,SupervisedSparse,target,test13,x,target,1,0.5710000000000001
8040,SupervisedSparse,nottarget,contr9,n,nottarget,1,0.45899999999999996
8040,SupervisedSparse,nottarget,contr10,n,nottarget,1,0.5579999999999999
8040,SupervisedSparse,nottarget,catch8,n,nottarget,1,0.956
8040,SupervisedSparse,nottarget,contr11,n,nottarget,1,0.515
8040,SupervisedSparse,target,test8,x,target,1,0.363
8040,SupervisedSparse,target,test7,x,target,1,0.37
8040,SupervisedSparse,nottarget,catch7,n,nottarget,1,0.672
8040,SupervisedSparse,nottarget,contr12,n,nottarget,1,0.555
8040,SupervisedSparse,nottarget,contr3,n,nottarget,1,0.33
8040,SupervisedSparse,nottarget,contr13,n,nottarget,1,0.322
8040,SupervisedSparse,target,test15,x,target,1,0.475
8040,SupervisedSparse,target,test4,x,target,1,0.31
8040,SupervisedSparse,nottarget,catch6,n,nottarget,1,0.397
8040,SupervisedSparse,target,test6,x,target,1,0.5710000000000001
8040,SupervisedSparse,nottarget,catch3,n,nottarget,1,0.5379999999999999
8040,SupervisedSparse,nottarget,catch1,n,nottarget,1,0.39299999999999996
8040,SupervisedSparse,nottarget,contr2,n,nottarget,1,0.423
8040,SupervisedSparse,target,test11,x,target,1,0.66
8040,SupervisedSparse,nottarget,contr1,n,nottarget,1,0.47100000000000003
8040,SupervisedSparse,nottarget,catch5,n,nottarget,1,0.514
8040,SupervisedSparse,target,test10,x,target,1,0.49
8040,SupervisedSparse,target,test2,x,target,1,0.612
8040,SupervisedSparse,target,test3,x,target,1,0.376
8040,SupervisedSparse,target,test5,x,target,1,0.5670000000000001
8040,SupervisedSparse,nottarget,contr5,n,nottarget,1,0.502
8040,SupervisedSparse,target,test12,x,target,1,0.501
8040,SupervisedSparse,nottarget,catch2,n,nottarget,1,0.46399999999999997
8040,SupervisedSparse,target,test9,x,target,1,0.555
8040,SupervisedSparse,nottarget,contr16,n,nottarget,1,0.682
8040,SupervisedSparse,target,test16,x,target,1,0.42
8040,SupervisedSparse,nottarget,contr8,n,nottarget,1,0.465
8040,SupervisedSparse,nottarget,contr7,n,nottarget,1,0.564
8040,SupervisedSparse,nottarget,contr14,n,nottarget,1,0.37
8040,SupervisedDense,target,test10,x,target,1,1.8730000000000002
8040,SupervisedDense,nottarget,catch4,n,nottarget,1,0.9209999999999999
8040,SupervisedDense,nottarget,catch7,n,nottarget,1,0.963
8040,SupervisedDense,nottarget,contr12,n,nottarget,1,0.586
8040,SupervisedDense,nottarget,contr4,n,nottarget,1,0.447
8040,SupervisedDense,target,test11,x,target,1,0.635
8040,SupervisedDense,nottarget,contr7,n,nottarget,1,0.496
8040,SupervisedDense,nottarget,catch2,n,nottarget,1,0.616
8040,SupervisedDense,nottarget,contr8,n,nottarget,1,0.534
8040,SupervisedDense,nottarget,catch8,n,nottarget,1,0.478
8040,SupervisedDense,nottarget,catch1,n,nottarget,1,0.408
8040,SupervisedDense,target,test1,x,target,1,0.62
8040,SupervisedDense,nottarget,contr13,n,nottarget,1,0.522
8040,SupervisedDense,nottarget,contr11,n,nottarget,1,0.5379999999999999
8040,SupervisedDense,target,test8,x,target,1,0.562
8040,SupervisedDense,nottarget,contr16,n,nottarget,1,0.449
8040,SupervisedDense,nottarget,contr1,n,nottarget,1,0.373
8040,SupervisedDense,nottarget,catch6,n,nottarget,1,0.467
8040,SupervisedDense,target,test16,x,target,1,0.485
8040,SupervisedDense,nottarget,contr3,n,nottarget,1,0.527
8040,SupervisedDense,target,test7,x,target,1,0.391
8040,SupervisedDense,target,test15,x,target,1,0.5329999999999999
8040,SupervisedDense,nottarget,contr5,n,nottarget,1,0.589
8040,SupervisedDense,target,test9,x,target,1,0.498
8040,SupervisedDense,nottarget,contr9,n,nottarget,1,0.444
8040,SupervisedDense,nottarget,catch5,n,nottarget,1,0.496
8040,SupervisedDense,nottarget,contr2,n,nottarget,1,0.496
