"","Subject","System","ashby","sloutsky","tt","sloutsky.t","tt.t","ashby.cs"
"1",8001,"associative",-0.530204000389631,0.678906765870263,0.756975797926392,1.03410089560062,0.989989794864697,-0.552026532285714
"2",8001,"hypothesis-testing",1.40377930757081,0.678906765870263,0.756975797926392,1.03410089560062,0.989989794864697,1.39772244799488
"3",8012,"associative",-1.06006244092674,0.290396401593369,-0.292926045316559,-0.0185275600706761,-0.703705158165666,-1.08620433510231
"4",8012,"hypothesis-testing",-0.662668610523907,-3.52323966938418,-0.817876966938034,-1.91421241606762,-1.12588131642622,-0.685570982989864
"5",8013,"associative",-0.132810169986801,0.678906765870263,1.01945125873713,1.03410089560062,1.65462998352178,-0.151393180173263
"6",8013,"hypothesis-testing",1.43027222959766,-2.09851068049395,-3.96758249666689,-1.68032938305727,-2.31066804673105,1.42443133813571
"7",8017,"associative",-0.848119064711894,0.648343905101526,0.756975797926392,0.934695874738795,0.989989794864697,-0.872533213975674
"8",8017,"hypothesis-testing",0.820935022979991,0.125312970421714,1.01945125873713,-0.337329154958259,1.65462998352178,0.810126864896619
"9",8018,"associative",-1.03356951889988,0.678906765870263,0.494500337115654,1.03410089560062,0.42407140882664,-1.05949544496148
"10",8018,"hypothesis-testing",1.66870852783936,0.678906765870263,0.494500337115654,1.03410089560062,0.42407140882664,1.66481134940318
"11",8021,"associative",-0.768640298631328,0.678906765870263,-2.6552051926132,1.03410089560062,-1.95846097091071,-0.792406543553184
"12",8021,"hypothesis-testing",1.40377930757081,0.678906765870263,-0.817876966938034,1.03410089560062,-1.12588131642622,1.39772244799488
"13",8024,"associative",-0.848119064711894,-0.838517824519141,0.232024876304917,-1.2507675458033,-0.0443127554256166,-0.872533213975674
"14",8024,"hypothesis-testing",1.58922976175879,0.0917091426960523,0.756975797926392,-0.393704630155668,0.989989794864697,1.58468467898069
"15",8026,"associative",-0.556696922416486,-0.789999657730264,1.01945125873713,-1.22471707579808,1.65462998352178,-0.578735422426544
"16",8026,"hypothesis-testing",0.423541192577161,0.678906765870263,1.01945125873713,1.03410089560062,1.65462998352178,0.409493512784168
"17",8027,"associative",-0.609682766470196,0.678906765870263,-0.030450584505821,1.03410089560062,-0.416576644216606,-0.632153202708204
"18",8027,"hypothesis-testing",1.13885008730225,-0.789999657730264,-0.555401506127297,-1.22471707579808,-0.934019015523857,1.13063354658658
