Experiment,Unnamed: 21,Unnamed: 24,Unnamed: 30,cat1,cat2,cat3,correct,date,expName,expTrials.thisIndex,expTrials.thisN,expTrials.thisRepN,expTrials.thisTrialN,frameRate,img1,img2,img3,participant,pracTrials.thisIndex,pracTrials.thisN,pracTrials.thisRepN,pracTrials.thisTrialN,readyTest.keys,readyTest.rt,resp.corr,resp.keys,resp.rt,session,targ,targ_img,word1,word2,word3
taxonomic,,,,dist,tax,them,down,2018_Oct_24_1339,taxthemexp_tax_img,,,,,59.60010856270001,stim/grapes.jpg,stim/handcuffs.jpg,stim/key.jpg,8041,2.0,0.0,0.0,0.0,,,1.0,down,3.6870970726,1,lock,stim/lock.jpg,grapes,handcuffs,key
taxonomic,,,,tax,them,dist,left,2018_Oct_24_1339,taxthemexp_tax_img,,,,,59.60010856270001,stim/coffeemaker.jpg,stim/stove.jpg,stim/doorknob.jpg,8041,0.0,1.0,0.0,1.0,,,1.0,left,2.06867098808,1,kettle,stim/kettle.jpg,coffee maker,stove,doorknob
taxonomic,,,,them,dist,tax,right,2018_Oct_24_1339,taxthemexp_tax_img,,,,,59.60010856270001,stim/tree.jpg,stim/guitar.jpg,stim/turtle.jpg,8041,1.0,2.0,0.0,2.0,,,1.0,right,2.00047707558,1,bird,stim/cardinal.jpg,tree,guitar,turtle
taxonomic,,,,dist,tax,them,down,2018_Oct_24_1339,taxthemexp_tax_img,,,,,59.60010856270001,stim/yarn.jpg,stim/train.jpg,stim/stopsign.jpg,8041,5.0,3.0,0.0,3.0,,,1.0,down,1.86938095093,1,car,stim/car.jpg,yarn,train,stopsign
taxonomic,,,,tax,them,dist,left,2018_Oct_24_1339,taxthemexp_tax_img,,,,,59.60010856270001,stim/pants.jpg,stim/shoe.jpg,stim/cake.jpg,8041,3.0,4.0,0.0,4.0,,,1.0,left,2.55284905434,1,sock,stim/sock.jpg,pants,shoe,cake
taxonomic,,,,them,dist,tax,right,2018_Oct_24_1339,taxthemexp_tax_img,,,,,59.60010856270001,stim/bread.jpg,stim/trumpet.jpg,stim/microwave.jpg,8041,4.0,5.0,0.0,5.0,,,1.0,right,1.90135192871,1,toaster,stim/toaster.jpg,bread,trumpet,microwave
taxonomic,,,,,,,,2018_Oct_24_1339,taxthemexp_tax_img,,,,,59.60010856270001,,,,8041,,,,,space,5.92205286026,,,,1,,,,,
taxonomic,,,,tax,them,dist,left,2018_Oct_24_1339,taxthemexp_tax_img,11.0,0.0,0.0,0.0,59.60010856270001,stim/spoon.jpg,stim/plate.jpg,stim/purse.jpg,8041,,,,,,,1.0,left,2.11755895615,1,fork,stim/fork.jpg,spoon,plate,purse
taxonomic,,,,tax,them,dist,left,2018_Oct_24_1339,taxthemexp_tax_img,13.0,1.0,0.0,1.0,59.60010856270001,stim/clarinet.jpg,stim/musicstand.jpg,stim/chips.jpg,8041,,,,,,,1.0,left,0.886435985565,1,horn,stim/horn.jpg,clarinet,music stand,chips
taxonomic,,,,tax,them,dist,left,2018_Oct_24_1339,taxthemexp_tax_img,20.0,2.0,0.0,2.0,59.60010856270001,stim/shredder.jpg,stim/desk.jpg,stim/wheelchair.jpg,8041,,,,,,,0.0,down,4.90292286873,1,printer,stim/printer.jpg,shredder,desk,wheelchair
taxonomic,,,,them,dist,tax,right,2018_Oct_24_1339,taxthemexp_tax_img,21.0,3.0,0.0,3.0,59.60010856270001,stim/chips.jpg,stim/seashell.jpg,stim/juice.jpg,8041,,,,,,,1.0,right,2.3025791645099996,1,soda,stim/soda.jpg,chips,seashell,juice
taxonomic,,,,tax,them,dist,left,2018_Oct_24_1339,taxthemexp_tax_img,7.0,4.0,0.0,4.0,59.60010856270001,stim/pipe.jpg,stim/cigarettecutter.jpg,stim/tissuebox.jpg,8041,,,,,,,1.0,left,2.38552904129,1,cigarette,stim/cigarette.jpg,pipe,cigarette cutter,tissue box
taxonomic,,,,tax,dist,them,left,2018_Oct_24_1339,taxthemexp_tax_img,15.0,5.0,0.0,5.0,59.60010856270001,stim/candle.jpg,stim/mailbox.jpg,stim/table.jpg,8041,,,,,,,1.0,left,1.7683548927300001,1,lamp,stim/lamp.jpg,candle,mailbox,table
taxonomic,,,,them,dist,tax,right,2018_Oct_24_1339,taxthemexp_tax_img,12.0,6.0,0.0,6.0,59.60010856270001,stim/hairbrush.jpg,stim/golfball.jpg,stim/scrunchie.jpg,8041,,,,,,,1.0,right,2.7017149925200004,1,headband,stim/headband.jpg,hairbrush,golfball,scrunchie
taxonomic,,,,them,dist,tax,right,2018_Oct_24_1339,taxthemexp_tax_img,8.0,7.0,0.0,7.0,59.60010856270001,stim/wine.jpg,stim/peanut.jpg,stim/peeler.jpg,8041,,,,,,,1.0,right,3.5356390476199997,1,corkscrew,stim/corkscrew.jpg,wine,peanut,peeler
taxonomic,,,,dist,tax,them,down,2018_Oct_24_1339,taxthemexp_tax_img,16.0,8.0,0.0,8.0,59.60010856270001,stim/calculator.jpg,stim/duster.jpg,stim/bucket.jpg,8041,,,,,,,1.0,down,1.6197400093099998,1,mop,stim/mop.jpg,calculator,duster,bucket
taxonomic,,,,dist,tax,them,down,2018_Oct_24_1339,taxthemexp_tax_img,18.0,9.0,0.0,9.0,59.60010856270001,stim/saltshaker.jpg,stim/ring.jpg,stim/jewellerybox.jpg,8041,,,,,,,1.0,down,1.43506503105,1,necklace,stim/necklace.jpg,saltshaker,ring,jewellery box
taxonomic,,,,tax,them,dist,left,2018_Oct_24_1339,taxthemexp_tax_img,1.0,10.0,0.0,10.0,59.60010856270001,stim/dumbbell.jpg,stim/lifejacket.jpg,stim/antelope.jpg,8041,,,,,,,1.0,left,4.00099802017,1,anchor,stim/anchor.jpg,weight,life jacket,antelope
taxonomic,,,,them,tax,dist,down,2018_Oct_24_1339,taxthemexp_tax_img,2.0,11.0,0.0,11.0,59.60010856270001,stim/ball.jpg,stim/racket.jpg,stim/dresser.jpg,8041,,,,,,,1.0,down,1.0996780395499999,1,bat,stim/bat.jpg,ball,racket,dresser
taxonomic,,,,dist,tax,them,down,2018_Oct_24_1339,taxthemexp_tax_img,14.0,12.0,0.0,12.0,59.60010856270001,stim/camel.jpg,stim/sword.jpg,stim/cuttingboard.jpg,8041,,,,,,,1.0,down,0.718309164047,1,knife,stim/knife.jpg,camel,sword,cutting board
taxonomic,,,,tax,them,dist,left,2018_Oct_24_1339,taxthemexp_tax_img,0.0,13.0,0.0,13.0,59.60010856270001,stim/canoe.jpg,stim/neckpillow.jpg,stim/duck.jpg,8041,,,,,,,0.0,right,2.06768989563,1,airplane,stim/airplane.jpg,canoe,neck pillow,duck
taxonomic,,,,dist,tax,them,down,2018_Oct_24_1339,taxthemexp_tax_img,10.0,14.0,0.0,14.0,59.60010856270001,stim/ribbon.jpg,stim/croissant.jpg,stim/pan.jpg,8041,,,,,,,1.0,down,3.15234684944,1,eggs,stim/eggs.jpg,ribbon,croissant,pan
taxonomic,,,,them,dist,tax,right,2018_Oct_24_1339,taxthemexp_tax_img,23.0,15.0,0.0,15.0,59.60010856270001,stim/suit.jpg,stim/snowglobe.jpg,stim/basket.jpg,8041,,,,,,,1.0,right,2.95239782333,1,suitcase,stim/suitcase.jpg,suit,snowglobe,basket
taxonomic,,,,dist,tax,them,down,2018_Oct_24_1339,taxthemexp_tax_img,4.0,16.0,0.0,16.0,59.60010856270001,stim/foodprocessor.jpg,stim/easel.jpg,stim/ruler.jpg,8041,,,,,,,0.0,right,3.17002797127,1,blackboard,stim/blackboard.jpg,food processor,easel,ruler
taxonomic,,,,them,dist,tax,right,2018_Oct_24_1339,taxthemexp_tax_img,9.0,17.0,0.0,17.0,59.60010856270001,stim/juice.jpg,stim/ironboard.jpg,stim/mug.jpg,8041,,,,,,,1.0,right,2.9025130271900004,1,cup,stim/cup.jpg,juice,ironing board,mug
taxonomic,,,,them,dist,tax,right,2018_Oct_24_1339,taxthemexp_tax_img,22.0,18.0,0.0,18.0,59.60010856270001,stim/sewingmachine.jpg,stim/watch.jpg,stim/yarn.jpg,8041,,,,,,,1.0,right,0.919204235077,1,string,stim/string.jpg,sewing machine,watch,yarn
taxonomic,,,,dist,tax,them,down,2018_Oct_24_1339,taxthemexp_tax_img,3.0,19.0,0.0,19.0,59.60010856270001,stim/bell.jpg,stim/microscope.jpg,stim/puffin.jpg,8041,,,,,,,1.0,down,1.8691790103900001,1,binoculars,stim/binoculars.jpg,bell,microscope,puffin
taxonomic,,,,them,dist,tax,right,2018_Oct_24_1339,taxthemexp_tax_img,6.0,20.0,0.0,20.0,59.60010856270001,stim/peanut.jpg,stim/mixer.jpg,stim/cat.jpg,8041,,,,,,,1.0,right,1.4848830699899997,1,chipmunk,stim/chipmunk.jpg,peanut,mixer,cat
taxonomic,,,,tax,dist,them,left,2018_Oct_24_1339,taxthemexp_tax_img,19.0,21.0,0.0,21.0,59.60010856270001,stim/pen.jpg,stim/rooster.jpg,stim/easel.jpg,8041,,,,,,,1.0,left,1.5168499946599998,1,paintbrush,stim/paintbrush.jpg,pen,rooster,easel
taxonomic,,,,them,dist,tax,right,2018_Oct_24_1339,taxthemexp_tax_img,17.0,22.0,0.0,22.0,59.60010856270001,stim/helmet.jpg,stim/umbrella.jpg,stim/car.jpg,8041,,,,,,,1.0,right,0.751253128052,1,motorcycle,stim/motorcycle.jpg,helmet,umbrella,car
taxonomic,,,,dist,tax,them,down,2018_Oct_24_1339,taxthemexp_tax_img,5.0,23.0,0.0,23.0,59.60010856270001,stim/chessboard.jpg,stim/icecream.jpg,stim/cheesegrater.jpg,8041,,,,,,,1.0,down,0.9515230655670001,1,cheese,stim/cheese.jpg,chessboard,ice cream,cheese grater
taxonomic,,,,them,dist,tax,right,2018_Nov_29_1425,taxthemexp_tax_img,,,,,60.0481610331,stim/bread.jpg,stim/trumpet.jpg,stim/microwave.jpg,8135,4.0,0.0,0.0,0.0,,,1.0,right,1.48670887947,1,toaster,stim/toaster.jpg,bread,trumpet,microwave
taxonomic,,,,dist,tax,them,down,2018_Nov_29_1425,taxthemexp_tax_img,,,,,60.0481610331,stim/yarn.jpg,stim/train.jpg,stim/stopsign.jpg,8135,5.0,1.0,0.0,1.0,,,0.0,right,1.18513798714,1,car,stim/car.jpg,yarn,train,stopsign
taxonomic,,,,dist,tax,them,down,2018_Nov_29_1425,taxthemexp_tax_img,,,,,60.0481610331,stim/grapes.jpg,stim/handcuffs.jpg,stim/key.jpg,8135,2.0,2.0,0.0,2.0,,,0.0,right,2.4687640667,1,lock,stim/lock.jpg,grapes,handcuffs,key
taxonomic,,,,tax,them,dist,left,2018_Nov_29_1425,taxthemexp_tax_img,,,,,60.0481610331,stim/pants.jpg,stim/shoe.jpg,stim/cake.jpg,8135,3.0,3.0,0.0,3.0,,,0.0,down,1.11863708496,1,sock,stim/sock.jpg,pants,shoe,cake
taxonomic,,,,tax,them,dist,left,2018_Nov_29_1425,taxthemexp_tax_img,,,,,60.0481610331,stim/coffeemaker.jpg,stim/stove.jpg,stim/doorknob.jpg,8135,0.0,4.0,0.0,4.0,,,1.0,left,2.68452906609,1,kettle,stim/kettle.jpg,coffee maker,stove,doorknob
taxonomic,,,,them,dist,tax,right,2018_Nov_29_1425,taxthemexp_tax_img,,,,,60.0481610331,stim/tree.jpg,stim/guitar.jpg,stim/turtle.jpg,8135,1.0,5.0,0.0,5.0,,,1.0,right,1.8672881126400003,1,bird,stim/cardinal.jpg,tree,guitar,turtle
taxonomic,,,,,,,,2018_Nov_29_1425,taxthemexp_tax_img,,,,,60.0481610331,,,,8135,,,,,space,6.10336613655,,,,1,,,,,
taxonomic,,,,them,dist,tax,right,2018_Nov_29_1425,taxthemexp_tax_img,8.0,0.0,0.0,0.0,60.0481610331,stim/wine.jpg,stim/peanut.jpg,stim/peeler.jpg,8135,,,,,,,1.0,right,1.8353569507599998,1,corkscrew,stim/corkscrew.jpg,wine,peanut,peeler
taxonomic,,,,them,dist,tax,right,2018_Nov_29_1425,taxthemexp_tax_img,23.0,1.0,0.0,1.0,60.0481610331,stim/suit.jpg,stim/snowglobe.jpg,stim/basket.jpg,8135,,,,,,,1.0,right,1.4848358631099998,1,suitcase,stim/suitcase.jpg,suit,snowglobe,basket
taxonomic,,,,dist,tax,them,down,2018_Nov_29_1425,taxthemexp_tax_img,5.0,2.0,0.0,2.0,60.0481610331,stim/chessboard.jpg,stim/icecream.jpg,stim/cheesegrater.jpg,8135,,,,,,,1.0,down,1.80135083199,1,cheese,stim/cheese.jpg,chessboard,ice cream,cheese grater
taxonomic,,,,dist,tax,them,down,2018_Nov_29_1425,taxthemexp_tax_img,3.0,3.0,0.0,3.0,60.0481610331,stim/bell.jpg,stim/microscope.jpg,stim/puffin.jpg,8135,,,,,,,0.0,right,3.6524357795699998,1,binoculars,stim/binoculars.jpg,bell,microscope,puffin
taxonomic,,,,tax,them,dist,left,2018_Nov_29_1425,taxthemexp_tax_img,11.0,4.0,0.0,4.0,60.0481610331,stim/spoon.jpg,stim/plate.jpg,stim/purse.jpg,8135,,,,,,,0.0,down,1.10237002373,1,fork,stim/fork.jpg,spoon,plate,purse
taxonomic,,,,them,dist,tax,right,2018_Nov_29_1425,taxthemexp_tax_img,9.0,5.0,0.0,5.0,60.0481610331,stim/juice.jpg,stim/ironboard.jpg,stim/mug.jpg,8135,,,,,,,1.0,right,4.0025551319099995,1,cup,stim/cup.jpg,juice,ironing board,mug
taxonomic,,,,tax,them,dist,left,2018_Nov_29_1425,taxthemexp_tax_img,7.0,6.0,0.0,6.0,60.0481610331,stim/pipe.jpg,stim/cigarettecutter.jpg,stim/tissuebox.jpg,8135,,,,,,,1.0,left,3.43456482887,1,cigarette,stim/cigarette.jpg,pipe,cigarette cutter,tissue box
taxonomic,,,,tax,them,dist,left,2018_Nov_29_1425,taxthemexp_tax_img,20.0,7.0,0.0,7.0,60.0481610331,stim/shredder.jpg,stim/desk.jpg,stim/wheelchair.jpg,8135,,,,,,,1.0,left,1.8846411705000001,1,printer,stim/printer.jpg,shredder,desk,wheelchair
taxonomic,,,,tax,dist,them,left,2018_Nov_29_1425,taxthemexp_tax_img,19.0,8.0,0.0,8.0,60.0481610331,stim/pen.jpg,stim/rooster.jpg,stim/easel.jpg,8135,,,,,,,1.0,left,1.0503041744200001,1,paintbrush,stim/paintbrush.jpg,pen,rooster,easel
taxonomic,,,,them,dist,tax,right,2018_Nov_29_1425,taxthemexp_tax_img,12.0,9.0,0.0,9.0,60.0481610331,stim/hairbrush.jpg,stim/golfball.jpg,stim/scrunchie.jpg,8135,,,,,,,1.0,right,2.13695907593,1,headband,stim/headband.jpg,hairbrush,golfball,scrunchie
taxonomic,,,,them,dist,tax,right,2018_Nov_29_1425,taxthemexp_tax_img,22.0,10.0,0.0,10.0,60.0481610331,stim/sewingmachine.jpg,stim/watch.jpg,stim/yarn.jpg,8135,,,,,,,1.0,right,1.46849608421,1,string,stim/string.jpg,sewing machine,watch,yarn
taxonomic,,,,tax,them,dist,left,2018_Nov_29_1425,taxthemexp_tax_img,13.0,11.0,0.0,11.0,60.0481610331,stim/clarinet.jpg,stim/musicstand.jpg,stim/chips.jpg,8135,,,,,,,1.0,left,0.70033288002,1,horn,stim/horn.jpg,clarinet,music stand,chips
taxonomic,,,,dist,tax,them,down,2018_Nov_29_1425,taxthemexp_tax_img,14.0,12.0,0.0,12.0,60.0481610331,stim/camel.jpg,stim/sword.jpg,stim/cuttingboard.jpg,8135,,,,,,,1.0,down,1.11825895309,1,knife,stim/knife.jpg,camel,sword,cutting board
taxonomic,,,,them,dist,tax,right,2018_Nov_29_1425,taxthemexp_tax_img,6.0,13.0,0.0,13.0,60.0481610331,stim/peanut.jpg,stim/mixer.jpg,stim/cat.jpg,8135,,,,,,,1.0,right,0.9004778862,1,chipmunk,stim/chipmunk.jpg,peanut,mixer,cat
taxonomic,,,,them,tax,dist,down,2018_Nov_29_1425,taxthemexp_tax_img,2.0,14.0,0.0,14.0,60.0481610331,stim/ball.jpg,stim/racket.jpg,stim/dresser.jpg,8135,,,,,,,1.0,down,0.8346080780030001,1,bat,stim/bat.jpg,ball,racket,dresser
taxonomic,,,,them,dist,tax,right,2018_Nov_29_1425,taxthemexp_tax_img,17.0,15.0,0.0,15.0,60.0481610331,stim/helmet.jpg,stim/umbrella.jpg,stim/car.jpg,8135,,,,,,,1.0,right,1.550552845,1,motorcycle,stim/motorcycle.jpg,helmet,umbrella,car
taxonomic,,,,dist,tax,them,down,2018_Nov_29_1425,taxthemexp_tax_img,16.0,16.0,0.0,16.0,60.0481610331,stim/calculator.jpg,stim/duster.jpg,stim/bucket.jpg,8135,,,,,,,1.0,down,0.8503589630130001,1,mop,stim/mop.jpg,calculator,duster,bucket
taxonomic,,,,dist,tax,them,down,2018_Nov_29_1425,taxthemexp_tax_img,18.0,17.0,0.0,17.0,60.0481610331,stim/saltshaker.jpg,stim/ring.jpg,stim/jewellerybox.jpg,8135,,,,,,,1.0,down,1.76737713814,1,necklace,stim/necklace.jpg,saltshaker,ring,jewellery box
taxonomic,,,,tax,dist,them,left,2018_Nov_29_1425,taxthemexp_tax_img,15.0,18.0,0.0,18.0,60.0481610331,stim/candle.jpg,stim/mailbox.jpg,stim/table.jpg,8135,,,,,,,1.0,left,1.53607606888,1,lamp,stim/lamp.jpg,candle,mailbox,table
taxonomic,,,,them,dist,tax,right,2018_Nov_29_1425,taxthemexp_tax_img,21.0,19.0,0.0,19.0,60.0481610331,stim/chips.jpg,stim/seashell.jpg,stim/juice.jpg,8135,,,,,,,1.0,right,1.2181270122499999,1,soda,stim/soda.jpg,chips,seashell,juice
taxonomic,,,,tax,them,dist,left,2018_Nov_29_1425,taxthemexp_tax_img,1.0,20.0,0.0,20.0,60.0481610331,stim/dumbbell.jpg,stim/lifejacket.jpg,stim/antelope.jpg,8135,,,,,,,1.0,left,5.47168207169,1,anchor,stim/anchor.jpg,weight,life jacket,antelope
taxonomic,,,,dist,tax,them,down,2018_Nov_29_1425,taxthemexp_tax_img,10.0,21.0,0.0,21.0,60.0481610331,stim/ribbon.jpg,stim/croissant.jpg,stim/pan.jpg,8135,,,,,,,1.0,down,0.985380172729,1,eggs,stim/eggs.jpg,ribbon,croissant,pan
