Subject,Score
8001,70
8002,62
8003,56
8004,65
8005,65
8006,57
8007,56
8008,72
8009,74
8010,72
8011,65
8012,70
8013,60
8014,69
8015,71
8016,74
8017,71
8018,57
8019,40
8020,47
8021,45
8022,59
8023,64
8024,63
8025,40
8026,61
8027,65
8028,64
8029,69
8030,47
8031,47
8032,59
8033,49
8034,77
8035,58
8036,50
8037,74
8038,NA
8039,65
8040,44
8041,72
8042,69
8043,65
8044,54
8045,61
8046,68
8047,66
8048,63
8049,48
8050,55
8051,56
8052,61
8053,66
8054,70
8055,45
8056,66
8057,63
8058,49
8059,58
8060,50
8061,67
8062,70
8063,73
8064,78
8065,NA
8066,68
8067,67
8068,63
8069,71
8070,63
8071,56
8072,73
8073,67
8074,71
8075,58
8076,63
8077,61
8078,71
8079,53
8080,76
8081,55
8082,51
8083,63
8084,55
8085,51
8086,70
8087,58
8088,64
8089,66
8090,54
8091,53
8092,66
8093,57
8094,74
8095,54
8096,65
8097,65
8098,73
8099,51
8100,61
8101,57
8102,66
8103,66
8104,49
8105,52
8106,66
8107,57
8108,67
8109,69
8110,76
8111,59
8112,72
8113,63
8114,62
8115,75
8116,73
8117,50
8118,62
8119,59
8120,30
8121,71
8122,66
8123,59
8124,66
8125,51
8126,62
8127,64
8128,68
8129,71
8130,61
8131,64
8132,68
8133,63
8134,52
8135,70
8136,69
8137,46
8138,50
8139,69
8140,77
8141,65
8142,61
8143,55
8144,70
8145,64
8146,65
8147,64
8148,56
8149,72
8150,71
8151,70
8152,71
8153,65
8154,65
8155,65
8156,64
8157,71
8158,63
8159,69
8160,54
8161,70
8162,61
8163,62
8165,67
8164,70
8166,67
8167,63
8168,49
8170,59
8169,77
8171,62
8173,68
8172,62
8174,61
8175,49
8176,73
8177,64
8178,65
