"","subnum","flanker_congruent","flanker_incongruent","flanker_eff","switcher_twofeat","switcher_threefeat","switcher_threefeatrand","switch_eff","tol_acc","tol_time","nd_raw","nd_ss"
"1",8001,424.944444444444,466.896551724138,41.9521072796935,76402,72370,73356,986,NA,NA,70,242
"2",8002,380.439024390244,454.210526315789,73.7715019255456,64886,62025,78364,16339,0.333333333333333,0.596951030681835,62,229
"3",8003,468.2,535.257142857143,67.0571428571429,60127,68691,72703,4012,0.916666666666667,0.634519754676947,56,219
"4",8004,406.666666666667,465.305555555556,58.6388888888889,67099,56995,68427,11432,0.75,0.602933103502882,65,234
"5",8005,479.414634146341,528.80487804878,49.390243902439,82560,76716,84549,7833,0.666666666666667,0.630979680646517,65,234
"6",8006,391.379310344828,359.388888888889,-31.9904214559386,83303,78794,99274,20480,0.666666666666667,0.703721638396679,57,221
"7",8007,465.675,510.394736842105,44.7197368421052,103552,76059,105213,29154,0.666666666666667,0.6152019992884,56,219
"8",8008,413.595238095238,456.575,42.9797619047619,92388,73329,83777,10448,0.583333333333333,0.654943203866696,72,245
"9",8009,400.714285714286,462.975,62.2607142857143,87411,67043,89589,22546,0.583333333333333,0.608829421567693,74,248
"10",8010,427.952380952381,511.147058823529,83.1946778711484,84040,99010,98994,-16,0.75,0.487371247362394,72,245
"11",8012,416.421052631579,445.15625,28.735197368421,75841,81539,83207,1668,0.25,0.408621111158662,70,242
"12",8013,356.292682926829,384.034482758621,27.7417998317914,78332,61515,91298,29783,0.666666666666667,0.753331542934263,60,226
"13",8014,396.19512195122,457.25641025641,61.0612883051908,85563,76445,89810,13365,0.666666666666667,0.708894401746363,69,240
"14",8015,317.75,362.076923076923,44.3269230769231,78383,66658,76945,10287,0.583333333333333,0.646553323424458,71,244
"15",8016,380.390243902439,426.868421052632,46.4781771501926,93407,91576,87414,-4162,0.416666666666667,0.63691604609357,74,248
"16",8017,444.658536585366,537.425,92.7664634146341,102332,105569,92725,-12844,0.75,0.634334082126633,71,244
"17",8018,446.9,480.871794871795,33.9717948717949,76852,68138,70654,2516,0.666666666666667,0.752978215777684,57,221
"18",8019,457.175,515.057142857143,57.8821428571428,60315,51043,69250,18207,0.666666666666667,0.605261831957329,40,193
"19",8020,426,457.657142857143,31.6571428571428,74367,71138,87731,16593,0.833333333333333,0.649715811463044,47,204
"20",8022,443.545454545455,472.1,28.5545454545455,84293,76316,91573,15257,0.25,0.532117308441103,59,224
"21",8023,405.904761904762,480.083333333333,74.1785714285714,64669,60860,77590,16730,0.666666666666667,0.659451891738083,64,232
"22",8024,399.190476190476,436.027777777778,36.8373015873016,87760,75394,78475,3081,0.916666666666667,0.692405044986657,63,231
"23",8025,533.880952380952,606.717948717949,72.8369963369963,87476,75891,109246,33355,0.416666666666667,0.479437778743524,40,193
"24",8026,343.2,400.72972972973,57.5297297297298,64773,64683,86740,22057,0.75,0.59535351188561,61,227
"25",8027,438.1,461.282051282051,23.1820512820512,68989,57941,64097,6156,0.583333333333333,0.630735165604226,65,234
"26",8028,373.65,449.029411764706,75.3794117647059,72717,73332,85456,12124,0.833333333333333,0.635009936710885,64,232
"27",8029,399.815789473684,501.192307692308,101.376518218623,58588,61292,58315,-2977,0.916666666666667,0.621145972303662,69,240
"28",8030,383.2,404.64,21.44,107198,102490,100879,-1611,0.833333333333333,0.610400280635703,47,204
