subnum,block,trial,practice,targdir,flankercoherence,flankerdir,time0,resp,corr,rt
8134,0,1,1,-1,,,70315,<timeout>,0,801
8134,0,2,1,1,1.0,1.0,73114,<rshift>,1,480
8134,0,3,1,-1,0.0,0.0,75539,<lshift>,1,387
8134,0,4,1,-1,-1.0,1.0,77870,<rshift>,0,372
8134,0,5,1,-1,1.0,-1.0,80188,<lshift>,1,482
8134,0,6,1,1,-1.0,-1.0,82619,<rshift>,1,512
8134,0,7,1,1,0.0,0.0,85080,<rshift>,1,513
8134,0,8,1,1,,,87540,<rshift>,1,442
8134,1,9,0,1,1.0,1.0,100364,<rshift>,1,531
8134,1,10,0,-1,-1.0,1.0,102432,<lshift>,1,580
8134,1,11,0,-1,0.0,0.0,104549,<lshift>,1,662
8134,1,12,0,-1,-1.0,1.0,106748,<lshift>,1,507
8134,1,13,0,1,-1.0,-1.0,108794,<rshift>,1,526
8134,1,14,0,-1,,,110860,<lshift>,1,505
8134,1,15,0,1,,,112904,<rshift>,1,506
8134,1,16,0,-1,,,114950,<lshift>,1,445
8134,1,17,0,1,-1.0,-1.0,116935,<rshift>,1,515
8134,1,18,0,-1,,,118990,<lshift>,1,456
8134,1,19,0,1,1.0,1.0,120986,<rshift>,1,615
8134,1,20,0,-1,-1.0,1.0,123141,<lshift>,1,602
8134,1,21,0,1,0.0,0.0,125283,<rshift>,1,455
8134,1,22,0,-1,0.0,0.0,127277,<lshift>,1,569
8134,1,23,0,1,,,129383,<rshift>,1,520
8134,1,24,0,-1,0.0,0.0,131440,<lshift>,1,469
8134,1,25,0,1,1.0,1.0,133445,<rshift>,1,397
8134,1,26,0,-1,0.0,0.0,135380,<lshift>,1,407
8134,1,27,0,1,,,137323,<rshift>,1,455
8134,1,28,0,1,-1.0,-1.0,139317,<rshift>,1,567
8134,1,29,0,-1,,,141423,<lshift>,1,506
8134,1,30,0,-1,-1.0,1.0,143469,<lshift>,1,515
8134,1,31,0,1,-1.0,-1.0,145524,<rshift>,1,637
8134,1,32,0,1,1.0,1.0,147701,<rshift>,1,545
8134,1,33,0,1,1.0,1.0,149787,<rshift>,1,385
8134,1,34,0,1,0.0,0.0,151712,<rshift>,1,389
8134,1,35,0,1,0.0,0.0,153640,<rshift>,1,447
8134,1,36,0,1,,,155626,<rshift>,1,372
8134,1,37,0,1,1.0,1.0,157538,<rshift>,1,366
8134,1,38,0,1,1.0,1.0,159441,<rshift>,1,344
8134,1,39,0,-1,,,161324,<rshift>,0,304
8134,1,40,0,1,-1.0,-1.0,163166,<rshift>,1,669
8134,1,41,0,-1,1.0,-1.0,165373,<lshift>,1,455
8134,1,42,0,-1,-1.0,1.0,167367,<lshift>,1,586
8134,1,43,0,1,0.0,0.0,169493,<rshift>,1,567
8134,1,44,0,1,1.0,1.0,171598,<rshift>,1,647
8134,1,45,0,1,,,173785,<rshift>,1,536
8134,1,46,0,-1,-1.0,1.0,175861,<lshift>,1,453
8134,1,47,0,1,1.0,1.0,177856,<rshift>,1,455
8134,1,48,0,-1,0.0,0.0,179851,<lshift>,1,618
8134,1,49,0,1,-1.0,-1.0,182008,<rshift>,1,628
8134,1,50,0,1,-1.0,-1.0,184176,<timeout>,0,801
8134,1,51,0,-1,,,186516,<lshift>,1,549
8134,1,52,0,1,,,188602,<rshift>,1,497
8134,1,53,0,1,,,190636,<rshift>,1,629
8134,1,54,0,-1,,,192803,<lshift>,1,537
8134,1,55,0,-1,-1.0,1.0,194878,<lshift>,1,507
8134,1,56,0,1,1.0,1.0,196923,<rshift>,1,435
8134,1,57,0,1,,,198896,<rshift>,1,446
8134,1,58,0,1,,,200881,<rshift>,1,444
8134,1,59,0,-1,1.0,-1.0,202865,<lshift>,1,414
8134,1,60,0,1,,,204819,<rshift>,1,556
8134,1,61,0,1,,,206916,<rshift>,1,535
8134,1,62,0,-1,,,208991,<lshift>,1,507
8134,1,63,0,1,0.0,0.0,211038,<rshift>,1,336
8134,1,64,0,-1,1.0,-1.0,212913,<lshift>,1,374
8134,1,65,0,1,0.0,0.0,214827,<rshift>,1,427
8134,1,66,0,-1,1.0,-1.0,216790,<lshift>,1,589
8134,1,67,0,-1,0.0,0.0,218917,<lshift>,1,609
8134,1,68,0,-1,-1.0,1.0,221063,<lshift>,1,537
8134,1,69,0,1,-1.0,-1.0,223137,<rshift>,1,610
8134,1,70,0,1,0.0,0.0,225285,<rshift>,1,539
8134,1,71,0,1,0.0,0.0,227361,<rshift>,1,467
8134,1,72,0,-1,,,229365,<lshift>,1,717
8134,1,73,0,-1,,,231622,<lshift>,1,536
8134,1,74,0,-1,1.0,-1.0,233698,<lshift>,1,503
8134,1,75,0,1,,,235741,<rshift>,1,576
8134,1,76,0,-1,0.0,0.0,237858,<lshift>,1,630
8134,1,77,0,-1,0.0,0.0,240026,<lshift>,1,507
8134,1,78,0,-1,0.0,0.0,242071,<lshift>,1,618
8134,1,79,0,-1,0.0,0.0,244226,<lshift>,1,651
8134,1,80,0,-1,0.0,0.0,246413,<lshift>,1,458
8134,1,81,0,-1,1.0,-1.0,248407,<lshift>,1,499
8134,1,82,0,1,,,250445,<rshift>,1,565
8134,1,83,0,1,1.0,1.0,252548,<rshift>,1,396
8134,1,84,0,1,-1.0,-1.0,254483,<rshift>,1,494
8134,1,85,0,-1,-1.0,1.0,256516,<lshift>,1,485
8134,1,86,0,-1,-1.0,1.0,258541,<lshift>,1,557
8134,1,87,0,-1,1.0,-1.0,260637,<lshift>,1,486
8134,1,88,0,-1,0.0,0.0,262663,<lshift>,1,416
8134,1,89,0,1,1.0,1.0,264617,<rshift>,1,590
8134,1,90,0,-1,-1.0,1.0,266749,<lshift>,1,687
8134,1,91,0,-1,-1.0,1.0,268977,<rshift>,0,777
8134,1,92,0,1,0.0,0.0,271295,<rshift>,1,578
8134,1,93,0,1,,,273410,<rshift>,1,609
8134,1,94,0,-1,1.0,-1.0,275556,<lshift>,1,620
8134,1,95,0,1,-1.0,-1.0,277714,<rshift>,1,669
8134,1,96,0,-1,1.0,-1.0,279922,<lshift>,1,638
8134,1,97,0,-1,0.0,0.0,282097,<lshift>,1,569
8134,1,98,0,-1,0.0,0.0,284204,<lshift>,1,507
8134,1,99,0,-1,,,286249,<lshift>,1,516
8134,1,100,0,1,1.0,1.0,288305,<rshift>,1,515
8134,1,101,0,-1,,,290360,<lshift>,1,799
8134,1,102,0,1,1.0,1.0,292699,<rshift>,1,454
8134,1,103,0,1,0.0,0.0,294694,<rshift>,1,527
8134,1,104,0,1,0.0,0.0,296760,<rshift>,1,507
8134,1,105,0,1,,,298806,<rshift>,1,453
8134,1,106,0,1,1.0,1.0,300800,<rshift>,1,487
8134,1,107,0,-1,-1.0,1.0,302826,<lshift>,1,528
8134,1,108,0,-1,,,304893,<lshift>,1,516
8134,1,109,0,-1,-1.0,1.0,306948,<lshift>,1,509
8134,1,110,0,-1,1.0,-1.0,308995,<lshift>,1,465
8134,1,111,0,-1,-1.0,1.0,310999,<lshift>,1,466
8134,1,112,0,1,0.0,0.0,313004,<rshift>,1,550
8134,1,113,0,-1,-1.0,1.0,315091,<lshift>,1,607
8134,1,114,0,1,-1.0,-1.0,317238,<rshift>,1,556
8134,1,115,0,1,1.0,1.0,319334,<rshift>,1,546
8134,1,116,0,1,0.0,0.0,321421,<rshift>,1,519
8134,1,117,0,-1,,,323479,<lshift>,1,418
8134,1,118,0,-1,,,325438,<timeout>,0,801
8134,1,119,0,-1,,,327780,<lshift>,1,554
8134,1,120,0,-1,1.0,-1.0,329875,<lshift>,1,425
8134,1,121,0,-1,,,331839,<lshift>,1,497
8134,1,122,0,1,-1.0,-1.0,333874,<rshift>,1,529
8134,1,123,0,1,,,335942,<rshift>,1,557
8134,1,124,0,-1,1.0,-1.0,338037,<lshift>,1,588
8134,1,125,0,-1,0.0,0.0,340165,<lshift>,1,457
8134,1,126,0,-1,1.0,-1.0,342161,<lshift>,1,487
8134,1,127,0,1,-1.0,-1.0,344187,<rshift>,1,544
8134,1,128,0,1,-1.0,-1.0,346272,<rshift>,1,496
8134,1,129,0,-1,0.0,0.0,348308,<lshift>,1,537
8134,1,130,0,-1,0.0,0.0,350384,<lshift>,1,669
8134,1,131,0,-1,0.0,0.0,352592,<lshift>,1,659
8134,1,132,0,1,,,354791,<rshift>,1,495
8134,1,133,0,1,0.0,0.0,356828,<rshift>,1,455
8134,1,134,0,-1,1.0,-1.0,358822,<lshift>,1,792
8134,1,135,0,-1,1.0,-1.0,361153,<lshift>,1,458
8134,1,136,0,1,,,363150,<timeout>,0,801
8134,1,137,0,1,0.0,0.0,365490,<rshift>,1,486
8134,1,138,0,-1,1.0,-1.0,367514,<lshift>,1,447
8134,1,139,0,-1,-1.0,1.0,369500,<lshift>,1,528
8134,1,140,0,1,1.0,1.0,371567,<rshift>,1,518
8134,1,141,0,-1,1.0,-1.0,373624,<lshift>,1,445
8134,1,142,0,1,1.0,1.0,375609,<rshift>,1,467
8134,1,143,0,1,0.0,0.0,377617,<rshift>,1,436
8134,1,144,0,1,0.0,0.0,379592,<rshift>,1,366
8134,1,145,0,1,-1.0,-1.0,381497,<rshift>,1,514
8134,1,146,0,-1,1.0,-1.0,383553,<lshift>,1,505
8134,1,147,0,1,-1.0,-1.0,385599,<rshift>,1,504
8134,1,148,0,-1,1.0,-1.0,387645,<lshift>,1,494
8134,1,149,0,1,1.0,1.0,389678,<rshift>,1,376
8134,1,150,0,1,-1.0,-1.0,391593,<rshift>,1,477
8134,1,151,0,-1,-1.0,1.0,393609,<lshift>,1,527
8134,1,152,0,-1,,,395675,<lshift>,1,435
8134,1,153,0,-1,,,397650,<timeout>,0,801
8134,1,154,0,1,0.0,0.0,399991,<rshift>,1,343
8134,1,155,0,-1,,,401873,<lshift>,1,457
8134,1,156,0,1,1.0,1.0,403870,<rshift>,1,459
8134,1,157,0,1,0.0,0.0,405870,<rshift>,1,588
8134,1,158,0,-1,-1.0,1.0,407997,<lshift>,1,525
8134,1,159,0,1,,,410064,<rshift>,1,483
