Raw Score,Standard score
80,258
79,257
78,255
77,253
76,252
75,250
74,248
73,247
72,245
71,244
70,242
69,240
68,239
67,237
66,235
65,234
64,232
63,231
62,229
61,227
60,226
59,224
58,222
57,221
56,219
55,217
54,216
53,214
52,213
51,211
50,209
49,208
48,206
47,204
46,203
45,201
44,200
43,198
42,196
41,195
40,193
39,191
38,190
37,188
36,187
35,185
34,183
33,182
32,180
31,178
30,177
29,175
28,173
27,172
26,170
25,169
24,167
23,165
22,164
21,162
20,160
19,159
18,157
17,156
16,154
15,152
14,151
13,149
12,147
11,146
10,144
9,143
8,141
7,139
6,138
5,136
4,134
3,133
2,131
1,130
0,129
