Subject Number,Score
8001,17
8002,20
8003,9
8004,16
8005,19
8006,9
8007,5
8008,11
8009,16
8010,16
8011,21
8012,12
8013,0
8014,15
8015,21
8016,5
8017,16
8018,15
8019,14
8020,6
8021,13
8022,14
8023,20
8024,14
8025,12
8026,18
8027,20
8028,6
8029,20
8030,14
8031,0
8032,18
8033,9
8034,17
8035,19
8036,1
8037,14
8038,NA
8039,15
8040,3
8041,21
8042,NA
8043,19
8044,2
8045,21
8046,17
8047,14
8048,15
8049,15
8050,14
8051,20
8052,12
8053,12
8054,16
8055,7
8056,20
8057,NA
8058,14
8059,13
8060,7
8061,16
8062,23
8063,19
8064,22
8065,NA
8066,18
8067,16
8068,20
8069,7
8070,18
8071,22
8072,14
8073,NA
8074,23
8075,16
8076,17
8077,9
8078,17
8079,15
8080,16
8081,17
8082,14
8083,11
8084,16
8085,11
8086,19
8087,18
8088,26
8089,15
8090,15
8091,18
8092,15
8093,16
8094,22
8095,17
8096,8
8097,19
8098,20
8099,9
8100,14
8101,19
8102,18
8103,20
8104,NA
8105,13
8106,18
8107,6
8108,19
8109,12
8110,20
8111,14
8112,21
8113,16
8114,14
8115,19
8116,19
8117,14
8118,14
8119,16
8120,9
8121,16
8122,17
8123,8
8124,12
8125,14
8126,13
8127,16
8128,12
8129,18
8130,18
8131,8
8132,11
8133,15
8134,10
8135,12
8136,20
8137,12
8138,18
8139,19
8140,19
8141,23
8142,17
8143,20
8144,19
8145,18
8146,14
8147,10
8148,13
8149,16
8150,22
8151,22
8152,19
8153,12
8154,14
8155,20
8156,7
8157,17
8158,18
8159,18
8160,8
8161,19
8162,18
8163,15
8164,14
8165,17
8166,18
8167,18
8168,13
8169,19
8170,20
8171,16
8172,19
8173,17
8174,15
8175,12
8176,16
8177,17
8178,10
8179,17
8180,17
8181,17
8182,17
8183,9
8184,10
8185,15
8186,12
